"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Bethany School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Bethany School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Bethany School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Bethany School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Bethel School District",900104720,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Bethel School District",900104720,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Bethel School District",900104720,"2015-2016","Bullying","Number","Total Incidents",8,5,"Western"
"Bethel School District",900104720,"2012-2013","Bullying","Number","Students with at least 1 incident",7,5,"Western"
"Bethel School District",900104720,"2012-2013","Bullying","Number","Total Incidents",11,5,"Western"
"Bethel School District",900104720,"2013-2014","Bullying","Number","Students with at least 1 incident",9,5,"Western"
"Bethel School District",900104720,"2013-2014","Bullying","Number","Total Incidents",11,5,"Western"
"Bethel School District",900104720,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Bethel School District",900104720,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Bethel School District",900104720,"2016-2017","Bullying","Number","Total Incidents",6,5,"Western"
"Bloomfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Bloomfield School District",900305910,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Bloomfield School District",900305910,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Bloomfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Bloomfield School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Bloomfield School District",900305910,"2014-2015","Bullying","Number","Students with at least 1 incident",6,4,"North Central"
"Bloomfield School District",900305910,"2014-2015","Bullying","Number","Total Incidents",6,4,"North Central"
"Bloomfield School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Bloomfield School District",900305910,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Bloomfield School District",900305910,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Bolton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Bolton School District",901306260,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Bolton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Bolton School District",901306260,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Bolton School District",901306260,"2014-2015","Bullying","Number","Total Incidents",6,4,"North Central"
"Bolton School District",901306260,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Bolton School District",901306260,"2013-2014","Bullying","Number","Total Incidents",7,4,"North Central"
"Bolton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Bolton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Bolton School District",901306260,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Booker T Washington Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Booker T Washington Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Bozrah School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Bozrah School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Bozrah School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Bozrah School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Bozrah School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Bozrah School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Branford School District",900907310,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Branford School District",900907310,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Branford School District",900907310,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Branford School District",900907310,"2016-2017","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Branford School District",900907310,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Branford School District",900907310,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Branford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Branford School District",900907310,"2013-2014","Bullying","Number","Total Incidents",8,2,"South Central"
"Branford School District",900907310,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Branford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Brass City Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Brass City Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Brass City Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Brass City Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Brass City Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Brass City Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Bridgeport School District",900108070,"2014-2015","Bullying","Number","Total Incidents",50,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2014-2015","Bullying","Number","Students with at least 1 incident",46,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Bullying","Number","Students with at least 1 incident",57,1,"Southwest"
"Bridgeport School District",900108070,"2012-2013","Bullying","Number","Total Incidents",63,1,"Southwest"
"Bridgeport School District",900108070,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Bullying","Number","Total Incidents",40,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Bullying","Number","Students with at least 1 incident",22,1,"Southwest"
"Bridgeport School District",900108070,"2016-2017","Bullying","Number","Total Incidents",28,1,"Southwest"
"Bridgeport School District",900108070,"2015-2016","Bullying","Number","Students with at least 1 incident",28,1,"Southwest"
"Bristol School District",900308490,"2015-2016","Bullying","Number","Students with at least 1 incident",16,6,"Central"
"Bristol School District",900308490,"2015-2016","Bullying","Number","Total Incidents",19,6,"Central"
"Bristol School District",900308490,"2016-2017","Bullying","Number","Students with at least 1 incident",8,6,"Central"
"Bristol School District",900308490,"2012-2013","Bullying","Number","Students with at least 1 incident",11,6,"Central"
"Bristol School District",900308490,"2012-2013","Bullying","Number","Total Incidents",11,6,"Central"
"Bristol School District",900308490,"2013-2014","Bullying","Number","Students with at least 1 incident",9,6,"Central"
"Bristol School District",900308490,"2013-2014","Bullying","Number","Total Incidents",9,6,"Central"
"Bristol School District",900308490,"2014-2015","Bullying","Number","Students with at least 1 incident",14,6,"Central"
"Bristol School District",900308490,"2014-2015","Bullying","Number","Total Incidents",17,6,"Central"
"Bristol School District",900308490,"2016-2017","Bullying","Number","Total Incidents",9,6,"Central"
"Brookfield School District",900108980,"2012-2013","Bullying","Number","Students with at least 1 incident",10,5,"Western"
"Brookfield School District",900108980,"2012-2013","Bullying","Number","Total Incidents",10,5,"Western"
"Brookfield School District",900108980,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Brookfield School District",900108980,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Brookfield School District",900108980,"2014-2015","Bullying","Number","Students with at least 1 incident",6,5,"Western"
"Brookfield School District",900108980,"2014-2015","Bullying","Number","Total Incidents",6,5,"Western"
"Brookfield School District",900108980,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Brookfield School District",900108980,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Brookfield School District",900108980,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Brookfield School District",900108980,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Brooklyn School District",NA,"2012-2013","Bullying","Number","Total Incidents",8,3,"Eastern"
"Brooklyn School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Brooklyn School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Brooklyn School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Brooklyn School District",NA,"2014-2015","Bullying","Number","Total Incidents",7,3,"Eastern"
"Brooklyn School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",9,3,"Eastern"
"Brooklyn School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Brooklyn School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Brooklyn School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Brooklyn School District",NA,"2015-2016","Bullying","Number","Total Incidents",13,3,"Eastern"
"Canaan School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Canaan School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Canaan School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Canaan School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Canaan School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Canaan School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Canaan School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Canaan School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Canaan School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Canaan School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Canterbury School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Canterbury School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Canterbury School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Canterbury School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Canterbury School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Canterbury School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Canterbury School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Canterbury School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Canterbury School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Canterbury School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Canton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,6,"Central"
"Canton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Canton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,6,"Central"
"Canton School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Canton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Canton School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Canton School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,6,"Central"
"Canton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Canton School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,6,"Central"
"Canton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,6,"Central"
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Capitol Region Education Council",NA,"2014-2015","Bullying","Number","Total Incidents",22,4,"North Central"
"Capitol Region Education Council",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",8,4,"North Central"
"Capitol Region Education Council",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",15,4,"North Central"
"Capitol Region Education Council",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",20,4,"North Central"
"Capitol Region Education Council",NA,"2012-2013","Bullying","Number","Total Incidents",26,4,"North Central"
"Capitol Region Education Council",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",9,4,"North Central"
"Capitol Region Education Council",NA,"2013-2014","Bullying","Number","Total Incidents",11,4,"North Central"
"Capitol Region Education Council",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",15,4,"North Central"
"Capitol Region Education Council",NA,"2016-2017","Bullying","Number","Total Incidents",16,4,"North Central"
"Capitol Region Education Council",NA,"2015-2016","Bullying","Number","Total Incidents",9,4,"North Central"
"Chaplin School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Chaplin School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chaplin School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Chaplin School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chaplin School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chaplin School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chaplin School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chaplin School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chaplin School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chaplin School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Charter School for Young Children on Asylum Hill",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,4,"North Central"
