"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"New Canaan School District",900150580,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"New Canaan School District",900150580,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"New Canaan School District",900150580,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"New Canaan School District",900150580,"2014-2015","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"New Canaan School District",900150580,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"New Canaan School District",900150580,"2015-2016","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"New Canaan School District",900150580,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"New Canaan School District",900150580,"2016-2017","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"New Fairfield School District",900150860,"2012-2013","Bullying","Number","Students with at least 1 incident",12,5,"Western"
"New Fairfield School District",900150860,"2012-2013","Bullying","Number","Total Incidents",12,5,"Western"
"New Fairfield School District",900150860,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"New Fairfield School District",900150860,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"New Fairfield School District",900150860,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"New Fairfield School District",900150860,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"New Fairfield School District",900150860,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"New Fairfield School District",900150860,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"New Fairfield School District",900150860,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"New Fairfield School District",900150860,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"New Hartford School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"New Hartford School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"New Hartford School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"New Hartford School District",NA,"2013-2014","Bullying","Number","Total Incidents",6,5,"Western"
"New Hartford School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"New Hartford School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"New Hartford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"New Hartford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"New Hartford School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"New Hartford School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"New Haven School District",900952070,"2012-2013","Bullying","Number","Students with at least 1 incident",56,2,"South Central"
"New Haven School District",900952070,"2012-2013","Bullying","Number","Total Incidents",64,2,"South Central"
"New Haven School District",900952070,"2013-2014","Bullying","Number","Students with at least 1 incident",52,2,"South Central"
"New Haven School District",900952070,"2013-2014","Bullying","Number","Total Incidents",61,2,"South Central"
"New Haven School District",900952070,"2014-2015","Bullying","Number","Students with at least 1 incident",39,2,"South Central"
"New Haven School District",900952070,"2014-2015","Bullying","Number","Total Incidents",47,2,"South Central"
"New Haven School District",900952070,"2015-2016","Bullying","Number","Students with at least 1 incident",31,2,"South Central"
"New Haven School District",900952070,"2015-2016","Bullying","Number","Total Incidents",37,2,"South Central"
"New Haven School District",900952070,"2016-2017","Bullying","Number","Students with at least 1 incident",22,2,"South Central"
"New Haven School District",900952070,"2016-2017","Bullying","Number","Total Incidents",23,2,"South Central"
"Newington School District",900352140,"2012-2013","Bullying","Number","Students with at least 1 incident",13,3,"Eastern"
"Newington School District",900352140,"2012-2013","Bullying","Number","Total Incidents",18,3,"Eastern"
"Newington School District",900352140,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Newington School District",900352140,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Newington School District",900352140,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Newington School District",900352140,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Newington School District",900352140,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Newington School District",900352140,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Newington School District",900352140,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Newington School District",900352140,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"New London School District",901152350,"2012-2013","Bullying","Number","Students with at least 1 incident",39,5,"Western"
"New London School District",901152350,"2012-2013","Bullying","Number","Total Incidents",49,5,"Western"
"New London School District",901152350,"2013-2014","Bullying","Number","Students with at least 1 incident",32,5,"Western"
"New London School District",901152350,"2013-2014","Bullying","Number","Total Incidents",33,5,"Western"
"New London School District",901152350,"2014-2015","Bullying","Number","Students with at least 1 incident",9,5,"Western"
"New London School District",901152350,"2014-2015","Bullying","Number","Total Incidents",9,5,"Western"
"New London School District",901152350,"2015-2016","Bullying","Number","Students with at least 1 incident",13,5,"Western"
"New London School District",901152350,"2015-2016","Bullying","Number","Total Incidents",14,5,"Western"
"New London School District",901152350,"2016-2017","Bullying","Number","Students with at least 1 incident",12,5,"Western"
"New London School District",901152350,"2016-2017","Bullying","Number","Total Incidents",15,5,"Western"
"New Milford School District",900552630,"2012-2013","Bullying","Number","Students with at least 1 incident",8,6,"Central"
"New Milford School District",900552630,"2012-2013","Bullying","Number","Total Incidents",9,6,"Central"
"New Milford School District",900552630,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"New Milford School District",900552630,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"New Milford School District",900552630,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"New Milford School District",900552630,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"New Milford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"New Milford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,6,"Central"
"New Milford School District",900552630,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"New Milford School District",900552630,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Newtown School District",900152980,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Newtown School District",900152980,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Newtown School District",900152980,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Newtown School District",900152980,"2013-2014","Bullying","Number","Total Incidents",9,5,"Western"
"Newtown School District",900152980,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Newtown School District",900152980,"2014-2015","Bullying","Number","Total Incidents",6,5,"Western"
"Newtown School District",900152980,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Newtown School District",900152980,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Newtown School District",900152980,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Newtown School District",900152980,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Norfolk School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Norfolk School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Norfolk School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Norfolk School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Norfolk School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Norfolk School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Norfolk School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Norfolk School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Norfolk School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Norfolk School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"North Branford School District",900953890,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Branford School District",900953890,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"North Branford School District",900953890,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Branford School District",900953890,"2013-2014","Bullying","Number","Total Incidents",-9999,2,"South Central"
"North Branford School District",900953890,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Branford School District",900953890,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"North Branford School District",900953890,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Branford School District",900953890,"2015-2016","Bullying","Number","Total Incidents",6,2,"South Central"
"North Branford School District",900953890,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Branford School District",900953890,"2016-2017","Bullying","Number","Total Incidents",8,2,"South Central"
"North Canaan School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"North Canaan School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"North Canaan School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"North Canaan School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"North Canaan School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"North Canaan School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"North Canaan School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"North Canaan School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"North Canaan School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"North Canaan School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"North Haven School District",900954870,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Haven School District",900954870,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"North Haven School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"North Haven School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,2,"South Central"
"North Haven School District",900954870,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Haven School District",900954870,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"North Haven School District",900954870,"2015-2016","Bullying","Number","Students with at least 1 incident",6,2,"South Central"
"North Haven School District",900954870,"2015-2016","Bullying","Number","Total Incidents",8,2,"South Central"
"North Haven School District",900954870,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"North Haven School District",900954870,"2016-2017","Bullying","Number","Total Incidents",-9999,2,"South Central"
"North Stonington School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"North Stonington School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"North Stonington School District",901155500,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"North Stonington School District",901155500,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"North Stonington School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"North Stonington School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"North Stonington School District",901155500,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"North Stonington School District",901155500,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"North Stonington School District",901155500,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"North Stonington School District",901155500,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwalk School District",900156060,"2012-2013","Bullying","Number","Students with at least 1 incident",19,1,"Southwest"
"Norwalk School District",900156060,"2012-2013","Bullying","Number","Total Incidents",19,1,"Southwest"
"Norwalk School District",900156060,"2013-2014","Bullying","Number","Students with at least 1 incident",25,1,"Southwest"
"Norwalk School District",900156060,"2013-2014","Bullying","Number","Total Incidents",27,1,"Southwest"
"Norwalk School District",900156060,"2014-2015","Bullying","Number","Students with at least 1 incident",9,1,"Southwest"
"Norwalk School District",900156060,"2014-2015","Bullying","Number","Total Incidents",9,1,"Southwest"
"Norwalk School District",900156060,"2015-2016","Bullying","Number","Students with at least 1 incident",8,1,"Southwest"
"Norwalk School District",900156060,"2015-2016","Bullying","Number","Total Incidents",10,1,"Southwest"
"Norwalk School District",900156060,"2016-2017","Bullying","Number","Students with at least 1 incident",18,1,"Southwest"
"Norwalk School District",900156060,"2016-2017","Bullying","Number","Total Incidents",20,1,"Southwest"
"Norwich Free Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich Free Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwich Free Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich Free Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwich Free Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Norwich Free Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",6,3,"Eastern"
"Norwich Free Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich Free Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",6,3,"Eastern"
"Norwich Free Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich Free Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwich School District",901156270,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich School District",901156270,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwich School District",901156270,"2013-2014","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Norwich School District",901156270,"2013-2014","Bullying","Number","Total Incidents",8,3,"Eastern"
"Norwich School District",901156270,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich School District",901156270,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwich School District",901156270,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich School District",901156270,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Norwich School District",901156270,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Norwich School District",901156270,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Odyssey Community School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Odyssey Community School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Odyssey Community School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Odyssey Community School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Odyssey Community School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Odyssey Community School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Odyssey Community School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Odyssey Community School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Odyssey Community School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Odyssey Community School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Old Saybrook School District",900757320,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Old Saybrook School District",900757320,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Old Saybrook School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Old Saybrook School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Orange School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Orange School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Orange School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Orange School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Orange School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Orange School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Orange School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Orange School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Orange School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Orange School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Oxford School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Oxford School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Oxford School District",900958300,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Oxford School District",900958300,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Oxford School District",900958300,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Oxford School District",900958300,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Oxford School District",900958300,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Oxford School District",900958300,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Oxford School District",900958300,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Oxford School District",900958300,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Park City Prep Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Park City Prep Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Park City Prep Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Park City Prep Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Park City Prep Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Park City Prep Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Park City Prep Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Park City Prep Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Park City Prep Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Park City Prep Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Path Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Path Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Path Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Path Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Path Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Path Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Path Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Path Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Path Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Path Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Plainfield School District",901559980,"2012-2013","Bullying","Number","Students with at least 1 incident",9,3,"Eastern"
"Plainfield School District",901559980,"2012-2013","Bullying","Number","Total Incidents",11,3,"Eastern"
"Plainfield School District",901559980,"2013-2014","Bullying","Number","Students with at least 1 incident",16,3,"Eastern"
"Plainfield School District",901559980,"2013-2014","Bullying","Number","Total Incidents",17,3,"Eastern"
"Plainfield School District",901559980,"2014-2015","Bullying","Number","Students with at least 1 incident",9,3,"Eastern"
"Plainfield School District",901559980,"2014-2015","Bullying","Number","Total Incidents",12,3,"Eastern"
"Plainfield School District",901559980,"2015-2016","Bullying","Number","Students with at least 1 incident",16,3,"Eastern"
"Plainfield School District",901559980,"2015-2016","Bullying","Number","Total Incidents",17,3,"Eastern"
"Plainfield School District",901559980,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Plainfield School District",901559980,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Plainville School District",900360120,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plainville School District",900360120,"2012-2013","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plainville School District",900360120,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plainville School District",900360120,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plainville School District",900360120,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plainville School District",900360120,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plainville School District",900360120,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plainville School District",900360120,"2015-2016","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plainville School District",900360120,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plainville School District",900360120,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plymouth School District",900560750,"2012-2013","Bullying","Number","Students with at least 1 incident",7,6,"Central"
"Plymouth School District",900560750,"2012-2013","Bullying","Number","Total Incidents",11,6,"Central"
"Plymouth School District",900560750,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plymouth School District",900560750,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plymouth School District",900560750,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plymouth School District",900560750,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plymouth School District",900560750,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plymouth School District",900560750,"2015-2016","Bullying","Number","Total Incidents",-9999,6,"Central"
"Plymouth School District",900560750,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Plymouth School District",900560750,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Pomfret School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Pomfret School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Pomfret School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Pomfret School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Pomfret School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Pomfret School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Pomfret School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Pomfret School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Pomfret School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Pomfret School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Portland School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Portland School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Portland School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Portland School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Portland School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Portland School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Portland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Portland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Portland School District",900761800,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Portland School District",900761800,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Preston School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Preston School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Preston School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Preston School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Preston School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Preston School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Preston School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Preston School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Preston School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Preston School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Putnam School District",901562710,"2012-2013","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Putnam School District",901562710,"2012-2013","Bullying","Number","Total Incidents",6,3,"Eastern"
"Putnam School District",901562710,"2013-2014","Bullying","Number","Students with at least 1 incident",8,3,"Eastern"
"Putnam School District",901562710,"2013-2014","Bullying","Number","Total Incidents",10,3,"Eastern"
"Putnam School District",901562710,"2014-2015","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Putnam School District",901562710,"2014-2015","Bullying","Number","Total Incidents",6,3,"Eastern"
"Putnam School District",901562710,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Putnam School District",901562710,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Putnam School District",901562710,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Putnam School District",901562710,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Redding School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",7,5,"Western"
"Redding School District",NA,"2012-2013","Bullying","Number","Total Incidents",8,5,"Western"
"Redding School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
