"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"East Hartford School District",900322630,"2014-2015","Bullying","Number","Students with at least 1 incident",24
"East Hartford School District",900322630,"2014-2015","Bullying","Number","Total Incidents",26
"East Hartford School District",900322630,"2015-2016","Bullying","Number","Students with at least 1 incident",7
"East Hartford School District",900322630,"2015-2016","Bullying","Number","Total Incidents",8
"East Hartford School District",900322630,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"East Hartford School District",900322630,"2016-2017","Bullying","Number","Total Incidents",8
"East Haven School District",900922910,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"East Haven School District",900922910,"2012-2013","Bullying","Number","Total Incidents",7
"East Haven School District",900922910,"2013-2014","Bullying","Number","Students with at least 1 incident",8
"East Haven School District",900922910,"2013-2014","Bullying","Number","Total Incidents",8
"East Haven School District",900922910,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"East Haven School District",900922910,"2014-2015","Bullying","Number","Total Incidents",-9999
"East Haven School District",900922910,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"East Haven School District",900922910,"2015-2016","Bullying","Number","Total Incidents",-9999
"East Haven School District",900922910,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"East Haven School District",900922910,"2016-2017","Bullying","Number","Total Incidents",-9999
"East Lyme School District",901123400,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"East Lyme School District",901123400,"2012-2013","Bullying","Number","Total Incidents",6
"East Lyme School District",901123400,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"East Lyme School District",901123400,"2013-2014","Bullying","Number","Total Incidents",-9999
"East Lyme School District",901123400,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"East Lyme School District",901123400,"2014-2015","Bullying","Number","Total Incidents",-9999
"East Lyme School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"East Lyme School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"East Lyme School District",901123400,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"East Lyme School District",901123400,"2016-2017","Bullying","Number","Total Incidents",-9999
"Easton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Easton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Easton School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Easton School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Easton School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Easton School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Easton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Easton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Easton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Easton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"East Windsor School District",900324800,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"East Windsor School District",900324800,"2012-2013","Bullying","Number","Total Incidents",-9999
"East Windsor School District",900324800,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"East Windsor School District",900324800,"2013-2014","Bullying","Number","Total Incidents",-9999
"East Windsor School District",900324800,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"East Windsor School District",900324800,"2014-2015","Bullying","Number","Total Incidents",-9999
"East Windsor School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"East Windsor School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"East Windsor School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"East Windsor School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Ellington School District",901325360,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Ellington School District",901325360,"2012-2013","Bullying","Number","Total Incidents",-9999
"Ellington School District",901325360,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Ellington School District",901325360,"2013-2014","Bullying","Number","Total Incidents",-9999
"Ellington School District",901325360,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Ellington School District",901325360,"2014-2015","Bullying","Number","Total Incidents",-9999
"Ellington School District",901325360,"2015-2016","Bullying","Number","Students with at least 1 incident",10
"Ellington School District",901325360,"2015-2016","Bullying","Number","Total Incidents",11
"Ellington School District",901325360,"2016-2017","Bullying","Number","Students with at least 1 incident",7
"Ellington School District",901325360,"2016-2017","Bullying","Number","Total Incidents",8
"Elm City College Preparatory School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Elm City College Preparatory School District",NA,"2012-2013","Bullying","Number","Total Incidents",6
"Elm City College Preparatory School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Elm City College Preparatory School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Elm City College Preparatory School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Elm City College Preparatory School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Elm City College Preparatory School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Elm City College Preparatory School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Elm City College Preparatory School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Elm City College Preparatory School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Elm City Montessori School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Elm City Montessori School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Elm City Montessori School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Elm City Montessori School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Elm City Montessori School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Elm City Montessori School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Elm City Montessori School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Elm City Montessori School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Elm City Montessori School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Elm City Montessori School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Enfield School District",900325990,"2012-2013","Bullying","Number","Students with at least 1 incident",11
"Enfield School District",900325990,"2012-2013","Bullying","Number","Total Incidents",12
"Enfield School District",900325990,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Enfield School District",900325990,"2013-2014","Bullying","Number","Total Incidents",-9999
"Enfield School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Enfield School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Enfield School District",900325990,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Enfield School District",900325990,"2015-2016","Bullying","Number","Total Incidents",-9999
"Enfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Enfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Essex School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Essex School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Essex School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Essex School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Essex School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Essex School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Essex School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Essex School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Essex School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Essex School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Explorations District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Explorations District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Explorations District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Explorations District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Explorations District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Explorations District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Explorations District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Explorations District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Explorations District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Explorations District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Fairfield School District",900126620,"2012-2013","Bullying","Number","Students with at least 1 incident",10
"Fairfield School District",900126620,"2012-2013","Bullying","Number","Total Incidents",12
"Fairfield School District",900126620,"2013-2014","Bullying","Number","Students with at least 1 incident",10
"Fairfield School District",900126620,"2013-2014","Bullying","Number","Total Incidents",11
"Fairfield School District",900126620,"2014-2015","Bullying","Number","Students with at least 1 incident",7
"Fairfield School District",900126620,"2014-2015","Bullying","Number","Total Incidents",7
"Fairfield School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Fairfield School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Fairfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Fairfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Farmington School District",900327600,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Farmington School District",900327600,"2012-2013","Bullying","Number","Total Incidents",-9999
"Farmington School District",900327600,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Farmington School District",900327600,"2013-2014","Bullying","Number","Total Incidents",10
"Farmington School District",900327600,"2014-2015","Bullying","Number","Students with at least 1 incident",7
"Farmington School District",900327600,"2014-2015","Bullying","Number","Total Incidents",8
"Farmington School District",900327600,"2015-2016","Bullying","Number","Students with at least 1 incident",12
"Farmington School District",900327600,"2015-2016","Bullying","Number","Total Incidents",15
"Farmington School District",900327600,"2016-2017","Bullying","Number","Students with at least 1 incident",8
"Farmington School District",900327600,"2016-2017","Bullying","Number","Total Incidents",9
"Franklin School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Franklin School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Franklin School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Franklin School District",NA,"2013-2014","Bullying","Number","Total Incidents",6
"Franklin School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Franklin School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Franklin School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Franklin School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Franklin School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Franklin School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Glastonbury School District",900331240,"2012-2013","Bullying","Number","Students with at least 1 incident",8
"Glastonbury School District",900331240,"2012-2013","Bullying","Number","Total Incidents",9
"Glastonbury School District",900331240,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Glastonbury School District",900331240,"2013-2014","Bullying","Number","Total Incidents",-9999
"Glastonbury School District",900331240,"2014-2015","Bullying","Number","Students with at least 1 incident",15
"Glastonbury School District",900331240,"2014-2015","Bullying","Number","Total Incidents",18
"Glastonbury School District",900331240,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Glastonbury School District",900331240,"2015-2016","Bullying","Number","Total Incidents",-9999
"Glastonbury School District",900331240,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Glastonbury School District",900331240,"2016-2017","Bullying","Number","Total Incidents",-9999
"Granby School District",900332640,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Granby School District",900332640,"2012-2013","Bullying","Number","Total Incidents",6
"Granby School District",900332640,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Granby School District",900332640,"2013-2014","Bullying","Number","Total Incidents",-9999
"Granby School District",900332640,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Granby School District",900332640,"2014-2015","Bullying","Number","Total Incidents",-9999
"Granby School District",900332640,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Granby School District",900332640,"2015-2016","Bullying","Number","Total Incidents",-9999
"Granby School District",900332640,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Granby School District",900332640,"2016-2017","Bullying","Number","Total Incidents",-9999
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Greenwich School District",900133620,"2012-2013","Bullying","Number","Students with at least 1 incident",10
"Greenwich School District",900133620,"2012-2013","Bullying","Number","Total Incidents",10
"Greenwich School District",900133620,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Greenwich School District",900133620,"2013-2014","Bullying","Number","Total Incidents",11
"Greenwich School District",900133620,"2014-2015","Bullying","Number","Students with at least 1 incident",7
"Greenwich School District",900133620,"2014-2015","Bullying","Number","Total Incidents",7
"Greenwich School District",900133620,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Greenwich School District",900133620,"2015-2016","Bullying","Number","Total Incidents",7
"Greenwich School District",900133620,"2016-2017","Bullying","Number","Students with at least 1 incident",10
"Greenwich School District",900133620,"2016-2017","Bullying","Number","Total Incidents",12
"Griswold School District",901133900,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Griswold School District",901133900,"2012-2013","Bullying","Number","Total Incidents",6
"Griswold School District",901133900,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Griswold School District",901133900,"2013-2014","Bullying","Number","Total Incidents",-9999
"Griswold School District",901133900,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Griswold School District",901133900,"2014-2015","Bullying","Number","Total Incidents",-9999
"Griswold School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Griswold School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Griswold School District",901133900,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Griswold School District",901133900,"2016-2017","Bullying","Number","Total Incidents",-9999
"Groton School District",901134250,"2012-2013","Bullying","Number","Students with at least 1 incident",9
"Groton School District",901134250,"2012-2013","Bullying","Number","Total Incidents",10
"Groton School District",901134250,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Groton School District",901134250,"2013-2014","Bullying","Number","Total Incidents",9
"Groton School District",901134250,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Groton School District",901134250,"2014-2015","Bullying","Number","Total Incidents",-9999
"Groton School District",901134250,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Groton School District",901134250,"2015-2016","Bullying","Number","Total Incidents",-9999
"Groton School District",901134250,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Groton School District",901134250,"2016-2017","Bullying","Number","Total Incidents",6
"Guilford School District",900934950,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Guilford School District",900934950,"2012-2013","Bullying","Number","Total Incidents",-9999
"Guilford School District",900934950,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Guilford School District",900934950,"2013-2014","Bullying","Number","Total Incidents",-9999
"Guilford School District",900934950,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Guilford School District",900934950,"2014-2015","Bullying","Number","Total Incidents",-9999
"Guilford School District",900934950,"2015-2016","Bullying","Number","Students with at least 1 incident",16
"Guilford School District",900934950,"2015-2016","Bullying","Number","Total Incidents",17
"Guilford School District",900934950,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Guilford School District",900934950,"2016-2017","Bullying","Number","Total Incidents",-9999
"Hamden School District",900935650,"2012-2013","Bullying","Number","Students with at least 1 incident",8
"Hamden School District",900935650,"2012-2013","Bullying","Number","Total Incidents",10
"Hamden School District",900935650,"2013-2014","Bullying","Number","Students with at least 1 incident",16
"Hamden School District",900935650,"2013-2014","Bullying","Number","Total Incidents",19
"Hamden School District",900935650,"2014-2015","Bullying","Number","Students with at least 1 incident",18
"Hamden School District",900935650,"2014-2015","Bullying","Number","Total Incidents",20
"Hamden School District",900935650,"2015-2016","Bullying","Number","Students with at least 1 incident",7
"Hamden School District",900935650,"2015-2016","Bullying","Number","Total Incidents",10
"Hamden School District",900935650,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Hamden School District",900935650,"2016-2017","Bullying","Number","Total Incidents",-9999
"Hampton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Hampton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Hampton School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Hampton School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Hampton School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Hampton School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Hampton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Hampton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Hampton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Hampton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Hartford School District",900337070,"2012-2013","Bullying","Number","Students with at least 1 incident",64
"Hartford School District",900337070,"2012-2013","Bullying","Number","Total Incidents",70
"Hartford School District",900337070,"2013-2014","Bullying","Number","Students with at least 1 incident",77
"Hartford School District",900337070,"2013-2014","Bullying","Number","Total Incidents",84
"Hartford School District",900337070,"2014-2015","Bullying","Number","Students with at least 1 incident",44
"Hartford School District",900337070,"2014-2015","Bullying","Number","Total Incidents",47
"Hartford School District",900337070,"2015-2016","Bullying","Number","Students with at least 1 incident",50
"Hartford School District",900337070,"2015-2016","Bullying","Number","Total Incidents",56
"Hartford School District",900337070,"2016-2017","Bullying","Number","Students with at least 1 incident",60
"Hartford School District",900337070,"2016-2017","Bullying","Number","Total Incidents",74
"Hartland School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Hartland School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Hartland School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Hartland School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Hartland School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Hartland School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Hartland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Hartland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Hartland School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Hartland School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Hebron School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Hebron School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Hebron School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Hebron School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Hebron School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Hebron School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Hebron School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Hebron School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Hebron School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Hebron School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Highville Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Highville Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Highville Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Highville Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Highville Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Highville Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Highville Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Highville Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Highville Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Highville Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Integrated Day Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Integrated Day Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Integrated Day Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Integrated Day Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Integrated Day Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Integrated Day Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Integrated Day Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Integrated Day Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Integrated Day Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Integrated Day Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Interdistrict School for Arts and Communication District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Interdistrict School for Arts and Communication District",NA,"2012-2013","Bullying","Number","Total Incidents",11
"Interdistrict School for Arts and Communication District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Interdistrict School for Arts and Communication District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Interdistrict School for Arts and Communication District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Interdistrict School for Arts and Communication District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Interdistrict School for Arts and Communication District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Interdistrict School for Arts and Communication District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Interdistrict School for Arts and Communication District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Interdistrict School for Arts and Communication District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Jumoke Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Jumoke Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Jumoke Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Jumoke Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Jumoke Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Jumoke Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Jumoke Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Jumoke Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Jumoke Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Jumoke Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Kent School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Kent School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Kent School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Kent School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Kent School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Kent School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Kent School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Kent School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Kent School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Kent School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Killingly School District",901540500,"2012-2013","Bullying","Number","Students with at least 1 incident",24
"Killingly School District",901540500,"2012-2013","Bullying","Number","Total Incidents",28
"Killingly School District",901540500,"2013-2014","Bullying","Number","Students with at least 1 incident",18
"Killingly School District",901540500,"2013-2014","Bullying","Number","Total Incidents",19
"Killingly School District",901540500,"2014-2015","Bullying","Number","Students with at least 1 incident",12
"Killingly School District",901540500,"2014-2015","Bullying","Number","Total Incidents",15
"Killingly School District",901540500,"2015-2016","Bullying","Number","Students with at least 1 incident",16
"Killingly School District",901540500,"2015-2016","Bullying","Number","Total Incidents",18
"Killingly School District",901540500,"2016-2017","Bullying","Number","Students with at least 1 incident",7
"Killingly School District",901540500,"2016-2017","Bullying","Number","Total Incidents",7
"LEARN",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"LEARN",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"LEARN",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"LEARN",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"LEARN",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"LEARN",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"LEARN",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"LEARN",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"LEARN",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",8
"LEARN",NA,"2016-2017","Bullying","Number","Total Incidents",8
"Lebanon School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Lebanon School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Lebanon School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Lebanon School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Lebanon School District",901142390,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Lebanon School District",901142390,"2014-2015","Bullying","Number","Total Incidents",-9999
"Lebanon School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Lebanon School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Lebanon School District",901142390,"2016-2017","Bullying","Number","Students with at least 1 incident",7
"Lebanon School District",901142390,"2016-2017","Bullying","Number","Total Incidents",8
"Ledyard School District",901142600,"2012-2013","Bullying","Number","Students with at least 1 incident",8
"Ledyard School District",901142600,"2012-2013","Bullying","Number","Total Incidents",8
"Ledyard School District",901142600,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Ledyard School District",901142600,"2013-2014","Bullying","Number","Total Incidents",-9999
"Ledyard School District",901142600,"2014-2015","Bullying","Number","Students with at least 1 incident",8
"Ledyard School District",901142600,"2014-2015","Bullying","Number","Total Incidents",8
"Ledyard School District",901142600,"2015-2016","Bullying","Number","Students with at least 1 incident",7
"Ledyard School District",901142600,"2015-2016","Bullying","Number","Total Incidents",8
"Ledyard School District",901142600,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Ledyard School District",901142600,"2016-2017","Bullying","Number","Total Incidents",7
"Lisbon School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Lisbon School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
