"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"New Fairfield",900150860,"2012-2016","All","Number","Median Household Income",101392
"New Hartford",900551350,"2012-2016","All","Number","Margins of Error",8707
"New Hartford",900551350,"2012-2016","All","Number","Median Household Income",92970
"New Haven",900952070,"2012-2016","All","Number","Margins of Error",1456
"New Haven",900952070,"2012-2016","All","Number","Median Household Income",38126
"Newington",900352140,"2012-2016","All","Number","Margins of Error",2921
"Newington",900352140,"2012-2016","All","Number","Median Household Income",80315
"New London",901152350,"2012-2016","All","Number","Margins of Error",2407
"New London",901152350,"2012-2016","All","Number","Median Household Income",35357
"New Milford",900552630,"2012-2016","All","Number","Margins of Error",4912
"New Milford",900552630,"2012-2016","All","Number","Median Household Income",81350
"Newtown",900152980,"2012-2016","All","Number","Margins of Error",5792
"Newtown",900152980,"2012-2016","All","Number","Median Household Income",110036
"Norfolk",900553470,"2012-2016","All","Number","Margins of Error",6350
"Norfolk",900553470,"2012-2016","All","Number","Median Household Income",73804
"North Branford",900953890,"2012-2016","All","Number","Margins of Error",11807
"North Branford",900953890,"2012-2016","All","Number","Median Household Income",85357
"North Canaan",900554030,"2012-2016","All","Number","Margins of Error",7664
"North Canaan",900554030,"2012-2016","All","Number","Median Household Income",75690
"North Haven",900954870,"2012-2016","All","Number","Margins of Error",4879
"North Haven",900954870,"2012-2016","All","Number","Median Household Income",93696
"North Stonington",901155500,"2012-2016","All","Number","Margins of Error",17412
"North Stonington",901155500,"2012-2016","All","Number","Median Household Income",75091
"Norwalk",900156060,"2012-2016","All","Number","Margins of Error",3643
"Norwalk",900156060,"2012-2016","All","Number","Median Household Income",80896
"Norwich",901156270,"2012-2016","All","Number","Margins of Error",2399
"Norwich",901156270,"2012-2016","All","Number","Median Household Income",51758
"Old Lyme",901157040,"2012-2016","All","Number","Margins of Error",7272
"Old Lyme",901157040,"2012-2016","All","Number","Median Household Income",87971
"Old Saybrook",900757320,"2012-2016","All","Number","Margins of Error",9489
"Old Saybrook",900757320,"2012-2016","All","Number","Median Household Income",75237
"Orange",900957600,"2012-2016","All","Number","Margins of Error",5287
"Orange",900957600,"2012-2016","All","Number","Median Household Income",106475
"Oxford",900958300,"2012-2016","All","Number","Margins of Error",8733
"Oxford",900958300,"2012-2016","All","Number","Median Household Income",99311
"Plainfield",901559980,"2012-2016","All","Number","Margins of Error",5854
"Plainfield",901559980,"2012-2016","All","Number","Median Household Income",65254
"Plainville",900360120,"2012-2016","All","Number","Margins of Error",4006
"Plainville",900360120,"2012-2016","All","Number","Median Household Income",61907
"Plymouth",900560750,"2012-2016","All","Number","Margins of Error",4736
"Plymouth",900560750,"2012-2016","All","Number","Median Household Income",70635
"Pomfret",901561030,"2012-2016","All","Number","Margins of Error",15595
"Pomfret",901561030,"2012-2016","All","Number","Median Household Income",88906
"Portland",900761800,"2012-2016","All","Number","Margins of Error",12929
"Portland",900761800,"2012-2016","All","Number","Median Household Income",81589
"Preston",901162150,"2012-2016","All","Number","Margins of Error",8886
"Preston",901162150,"2012-2016","All","Number","Median Household Income",69439
"Prospect",900962290,"2012-2016","All","Number","Margins of Error",10417
"Prospect",900962290,"2012-2016","All","Number","Median Household Income",103659
"Putnam",901562710,"2012-2016","All","Number","Margins of Error",6001
"Putnam",901562710,"2012-2016","All","Number","Median Household Income",52224
"Redding",900163480,"2012-2016","All","Number","Margins of Error",18265
"Redding",900163480,"2012-2016","All","Number","Median Household Income",129643
"Ridgefield",900163970,"2012-2016","All","Number","Margins of Error",9175
"Ridgefield",900163970,"2012-2016","All","Number","Median Household Income",145014
"Rocky Hill",900365370,"2012-2016","All","Number","Margins of Error",4791
"Rocky Hill",900365370,"2012-2016","All","Number","Median Household Income",81988
"Roxbury",900565930,"2012-2016","All","Number","Margins of Error",11468
"Roxbury",900565930,"2012-2016","All","Number","Median Household Income",110625
"Salem",901166210,"2012-2016","All","Number","Margins of Error",11461
"Salem",901166210,"2012-2016","All","Number","Median Household Income",104732
"Salisbury",900566420,"2012-2016","All","Number","Margins of Error",13375
"Salisbury",900566420,"2012-2016","All","Number","Median Household Income",74853
"Scotland",901567400,"2012-2016","All","Number","Margins of Error",8704
"Scotland",901567400,"2012-2016","All","Number","Median Household Income",86397
"Seymour",900967610,"2012-2016","All","Number","Margins of Error",9773
"Seymour",900967610,"2012-2016","All","Number","Median Household Income",79734
"Sharon",900567960,"2012-2016","All","Number","Margins of Error",16565
"Sharon",900567960,"2012-2016","All","Number","Median Household Income",82714
"Shelton",900168170,"2012-2016","All","Number","Margins of Error",4125
"Shelton",900168170,"2012-2016","All","Number","Median Household Income",87277
"Sherman",900168310,"2012-2016","All","Number","Margins of Error",14032
"Sherman",900168310,"2012-2016","All","Number","Median Household Income",111667
"Simsbury",900368940,"2012-2016","All","Number","Margins of Error",5662
"Simsbury",900368940,"2012-2016","All","Number","Median Household Income",110099
"Somers",901369220,"2012-2016","All","Number","Margins of Error",7384
"Somers",901369220,"2012-2016","All","Number","Median Household Income",94765
"Southbury",900969640,"2012-2016","All","Number","Margins of Error",5887
