"FixedDistrict","Year","Domain","Level 1","Level 2","Level 3","R#","Region"
"Path Academy District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Path Academy District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Path Academy District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Plainfield School District","2016-17","Literacy",30.6,43.5,25.9,3,"Eastern"
"Plainfield School District","2016-17","Numeracy",23.8,49.7,26.5,3,"Eastern"
"Plainfield School District","2016-17","Creative",8.2,58.5,33.3,3,"Eastern"
"Plainfield School District","2016-17","Personal",11.6,55.8,32.7,3,"Eastern"
"Plainfield School District","2016-17","Physical",9.5,49.7,40.8,3,"Eastern"
"Plainfield School District","2016-17","Language",25.2,42.2,32.7,3,"Eastern"
"Plainville School District","2016-17","Personal",11.9,38.1,50,6,"Central"
"Plainville School District","2016-17","Numeracy",13.6,30.1,56.3,6,"Central"
"Plainville School District","2016-17","Physical",9.1,33,58,6,"Central"
"Plainville School District","2016-17","Literacy",18.2,35.8,46,6,"Central"
"Plainville School District","2016-17","Language",17,38.6,44.3,6,"Central"
"Plainville School District","2016-17","Creative",9.1,29.5,61.4,6,"Central"
"Plymouth School District","2016-17","Literacy",27.7,37.3,34.9,6,"Central"
"Plymouth School District","2016-17","Creative",20.5,42.2,37.3,6,"Central"
"Plymouth School District","2016-17","Language",24.1,41,34.9,6,"Central"
"Plymouth School District","2016-17","Personal",22.9,41,36.1,6,"Central"
"Plymouth School District","2016-17","Physical",20.5,42.2,37.3,6,"Central"
"Plymouth School District","2016-17","Numeracy",24.1,43.4,32.5,6,"Central"
"Pomfret School District","2016-17","Physical",12,36,52,3,"Eastern"
"Pomfret School District","2016-17","Literacy",28,52,20,3,"Eastern"
"Pomfret School District","2016-17","Language",24,32,44,3,"Eastern"
"Pomfret School District","2016-17","Numeracy",12,52,36,3,"Eastern"
"Pomfret School District","2016-17","Creative",12,64,24,3,"Eastern"
"Pomfret School District","2016-17","Personal",20,44,36,3,"Eastern"
"Portland School District","2016-17","Literacy",32.7,33.7,33.7,3,"Eastern"
"Portland School District","2016-17","Creative",11.2,58.2,30.6,3,"Eastern"
"Portland School District","2016-17","Numeracy",27.6,44.9,27.6,3,"Eastern"
"Portland School District","2016-17","Physical",17.3,49,33.7,3,"Eastern"
"Portland School District","2016-17","Language",36.7,43.9,19.4,3,"Eastern"
"Portland School District","2016-17","Personal",26.5,52,21.4,3,"Eastern"
"Preston School District","2016-17","Creative",22.6,54.8,22.6,3,"Eastern"
"Preston School District","2016-17","Personal",22.6,64.5,12.9,3,"Eastern"
"Preston School District","2016-17","Language",29,41.9,29,3,"Eastern"
"Preston School District","2016-17","Literacy",22.6,29,48.4,3,"Eastern"
"Preston School District","2016-17","Physical",22.6,48.4,29,3,"Eastern"
"Preston School District","2016-17","Numeracy",16.1,38.7,45.2,3,"Eastern"
"Putnam School District","2016-17","Language",15.9,35.4,48.8,3,"Eastern"
"Putnam School District","2016-17","Literacy",19.5,45.1,35.4,3,"Eastern"
"Putnam School District","2016-17","Personal",12.2,39,48.8,3,"Eastern"
"Putnam School District","2016-17","Numeracy",19.5,31.7,48.8,3,"Eastern"
"Putnam School District","2016-17","Creative",9.8,35.4,54.9,3,"Eastern"
"Putnam School District","2016-17","Physical",7.3,35.4,57.3,3,"Eastern"
"Redding School District","2016-17","Numeracy",12.6,60.2,27.2,5,"Western"
"Redding School District","2016-17","Physical",6.8,29.1,64.1,5,"Western"
"Redding School District","2016-17","Literacy",13.6,59.2,27.2,5,"Western"
"Redding School District","2016-17","Creative",4.9,45.6,49.5,5,"Western"
"Redding School District","2016-17","Language",12.6,52.4,35,5,"Western"
"Redding School District","2016-17","Personal",10.7,35,54.4,5,"Western"
"Regional School District 01","2016-17","Physical",NA,NA,NA,5,"Western"
"Regional School District 01","2016-17","Language",NA,NA,NA,5,"Western"
"Regional School District 01","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Regional School District 01","2016-17","Creative",NA,NA,NA,5,"Western"
"Regional School District 01","2016-17","Literacy",NA,NA,NA,5,"Western"
"Regional School District 01","2016-17","Personal",NA,NA,NA,5,"Western"
"Regional School District 04","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Regional School District 04","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Regional School District 04","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Regional School District 04","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Regional School District 04","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Regional School District 04","2016-17","Language",NA,NA,NA,3,"Eastern"
"Regional School District 05","2016-17","Personal",NA,NA,NA,2,"South Central"
"Regional School District 05","2016-17","Numeracy",NA,NA,NA,2,"South Central"
"Regional School District 05","2016-17","Language",NA,NA,NA,2,"South Central"
"Regional School District 05","2016-17","Creative",NA,NA,NA,2,"South Central"
"Regional School District 05","2016-17","Physical",NA,NA,NA,2,"South Central"
"Regional School District 05","2016-17","Literacy",NA,NA,NA,2,"South Central"
"Regional School District 06","2016-17","Language",7.5,32.5,60,5,"Western"
"Regional School District 06","2016-17","Numeracy",2.5,12.5,85,5,"Western"
"Regional School District 06","2016-17","Creative",NA,15,85,5,"Western"
"Regional School District 06","2016-17","Personal",2.5,32.5,65,5,"Western"
"Regional School District 06","2016-17","Physical",7.5,12.5,80,5,"Western"
"Regional School District 06","2016-17","Literacy",5,22.5,72.5,5,"Western"
"Regional School District 07","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Regional School District 07","2016-17","Creative",NA,NA,NA,5,"Western"
"Regional School District 07","2016-17","Literacy",NA,NA,NA,5,"Western"
"Regional School District 07","2016-17","Language",NA,NA,NA,5,"Western"
"Regional School District 07","2016-17","Personal",NA,NA,NA,5,"Western"
"Regional School District 07","2016-17","Physical",NA,NA,NA,5,"Western"
"Regional School District 08","2016-17","Physical",NA,NA,NA,4,"North Central"
"Regional School District 08","2016-17","Literacy",NA,NA,NA,4,"North Central"
"Regional School District 08","2016-17","Numeracy",NA,NA,NA,4,"North Central"
"Regional School District 08","2016-17","Personal",NA,NA,NA,4,"North Central"
"Regional School District 08","2016-17","Creative",NA,NA,NA,4,"North Central"
"Regional School District 08","2016-17","Language",NA,NA,NA,4,"North Central"
"Regional School District 09","2016-17","Creative",NA,NA,NA,5,"Western"
"Regional School District 09","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Regional School District 09","2016-17","Personal",NA,NA,NA,5,"Western"
"Regional School District 09","2016-17","Physical",NA,NA,NA,5,"Western"
"Regional School District 09","2016-17","Language",NA,NA,NA,5,"Western"
"Regional School District 09","2016-17","Literacy",NA,NA,NA,5,"Western"
"Regional School District 10","2016-17","Personal",3.7,28.9,67.4,6,"Central"
"Regional School District 10","2016-17","Creative",2.2,23.7,74.1,6,"Central"
"Regional School District 10","2016-17","Language",8.9,27.4,63.7,6,"Central"
"Regional School District 10","2016-17","Numeracy",5.9,23.7,70.4,6,"Central"
"Regional School District 10","2016-17","Physical",5.2,23,71.9,6,"Central"
"Regional School District 10","2016-17","Literacy",5.2,28.1,66.7,6,"Central"
"Regional School District 11","2016-17","Language",NA,NA,NA,3,"Eastern"
"Regional School District 11","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Regional School District 11","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Regional School District 11","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Regional School District 11","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Regional School District 11","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Regional School District 12","2016-17","Numeracy",NA,26.7,73.3,5,"Western"
"Regional School District 12","2016-17","Physical",3.3,16.7,80,5,"Western"
"Regional School District 12","2016-17","Language",3.3,26.7,70,5,"Western"
"Regional School District 12","2016-17","Literacy",6.7,16.7,76.7,5,"Western"
"Regional School District 12","2016-17","Personal",3.3,20,76.7,5,"Western"
"Regional School District 12","2016-17","Creative",NA,16.7,83.3,5,"Western"
"Regional School District 13","2016-17","Literacy",19.1,45.2,35.7,3,"Eastern"
"Regional School District 13","2016-17","Personal",18.3,52.2,29.6,3,"Eastern"
"Regional School District 13","2016-17","Language",18.3,54.8,27,3,"Eastern"
"Regional School District 13","2016-17","Creative",7,63.5,29.6,3,"Eastern"
"Regional School District 13","2016-17","Numeracy",10.4,70.4,19.1,3,"Eastern"
"Regional School District 13","2016-17","Physical",2.6,65.2,32.2,3,"Eastern"
"Regional School District 14","2016-17","Personal",24,52.1,24,5,"Western"
"Regional School District 14","2016-17","Creative",5.2,72.9,21.9,5,"Western"
"Regional School District 14","2016-17","Numeracy",12.5,68.8,18.8,5,"Western"
"Regional School District 14","2016-17","Language",24,52.1,24,5,"Western"
"Regional School District 14","2016-17","Physical",8.3,66.7,25,5,"Western"
"Regional School District 14","2016-17","Literacy",17.7,57.3,25,5,"Western"
"Regional School District 15","2016-17","Creative",6.1,32.9,61,5,"Western"
"Regional School District 15","2016-17","Language",15,39.9,45.1,5,"Western"
"Regional School District 15","2016-17","Numeracy",8.9,46.9,44.1,5,"Western"
"Regional School District 15","2016-17","Physical",4.7,29.6,65.7,5,"Western"
"Regional School District 15","2016-17","Personal",6.1,44.6,49.3,5,"Western"
"Regional School District 15","2016-17","Literacy",14.6,38,47.4,5,"Western"
"Regional School District 16","2016-17","Numeracy",23.1,44.6,32.3,5,"Western"
"Regional School District 16","2016-17","Creative",10.8,53.1,36.2,5,"Western"
"Regional School District 16","2016-17","Physical",13.1,49.2,37.7,5,"Western"
"Regional School District 16","2016-17","Language",20.8,52.3,26.9,5,"Western"
"Regional School District 16","2016-17","Literacy",24.6,47.7,27.7,5,"Western"
"Regional School District 16","2016-17","Personal",16.9,48.5,34.6,5,"Western"
"Regional School District 17","2016-17","Literacy",5.7,18.4,75.9,3,"Eastern"
"Regional School District 17","2016-17","Physical",0.7,9.2,90.1,3,"Eastern"
"Regional School District 17","2016-17","Personal",2.1,11.3,86.5,3,"Eastern"
"Regional School District 17","2016-17","Language",5.7,11.3,83,3,"Eastern"
"Regional School District 17","2016-17","Numeracy",0.7,12.8,86.5,3,"Eastern"
"Regional School District 17","2016-17","Creative",0.7,8.5,90.8,3,"Eastern"
"Regional School District 18","2016-17","Personal",3.1,63.1,33.8,3,"Eastern"
"Regional School District 18","2016-17","Creative",NA,47.7,52.3,3,"Eastern"
"Regional School District 18","2016-17","Physical",NA,46.2,53.8,3,"Eastern"
"Regional School District 18","2016-17","Numeracy",6.2,60,33.8,3,"Eastern"
"Regional School District 18","2016-17","Language",7.7,69.2,23.1,3,"Eastern"
"Regional School District 18","2016-17","Literacy",10.8,66.2,23.1,3,"Eastern"
"Regional School District 19","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Regional School District 19","2016-17","Language",NA,NA,NA,3,"Eastern"
"Regional School District 19","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Regional School District 19","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Regional School District 19","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Regional School District 19","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Ridgefield School District","2016-17","Numeracy",14.9,31.8,53.3,5,"Western"
"Ridgefield School District","2016-17","Creative",9.3,25.3,65.4,5,"Western"
"Ridgefield School District","2016-17","Literacy",17.6,30.1,52.2,5,"Western"
"Ridgefield School District","2016-17","Language",19.4,29.4,51.2,5,"Western"
"Ridgefield School District","2016-17","Personal",17,29.8,53.3,5,"Western"
"Ridgefield School District","2016-17","Physical",10,26.6,63.3,5,"Western"
"Rocky Hill School District","2016-17","Physical",7.7,46.7,45.6,6,"Central"
"Rocky Hill School District","2016-17","Literacy",18.5,45.1,36.4,6,"Central"
"Rocky Hill School District","2016-17","Numeracy",15.4,46.2,38.5,6,"Central"
"Rocky Hill School District","2016-17","Personal",15.9,43.1,41,6,"Central"
"Rocky Hill School District","2016-17","Creative",10.3,40.5,49.2,6,"Central"
"Rocky Hill School District","2016-17","Language",21.5,39.5,39,6,"Central"
"Salem School District","2016-17","Physical",8.9,28.9,62.2,3,"Eastern"
"Salem School District","2016-17","Numeracy",11.1,40,48.9,3,"Eastern"
"Salem School District","2016-17","Personal",17.8,26.7,55.6,3,"Eastern"
"Salem School District","2016-17","Creative",6.7,31.1,62.2,3,"Eastern"
"Salem School District","2016-17","Literacy",15.6,35.6,48.9,3,"Eastern"
"Salem School District","2016-17","Language",13.3,22.2,64.4,3,"Eastern"
"Salisbury School District","2016-17","Physical",40.6,9.4,50,5,"Western"
"Salisbury School District","2016-17","Personal",40.6,34.4,25,5,"Western"
"Salisbury School District","2016-17","Creative",3.1,37.5,59.4,5,"Western"
"Salisbury School District","2016-17","Numeracy",21.9,46.9,31.3,5,"Western"
"Salisbury School District","2016-17","Language",15.6,65.6,18.8,5,"Western"
"Salisbury School District","2016-17","Literacy",37.5,37.5,25,5,"Western"
"Scotland School District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Scotland School District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Scotland School District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Scotland School District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Scotland School District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Scotland School District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Seymour School District","2016-17","Language",27.2,32.5,40.4,2,"South Central"
"Seymour School District","2016-17","Personal",23.8,34.4,41.7,2,"South Central"
"Seymour School District","2016-17","Numeracy",25.2,38.4,36.4,2,"South Central"
"Seymour School District","2016-17","Physical",13.2,43.7,43,2,"South Central"
"Seymour School District","2016-17","Creative",15.9,39.1,45,2,"South Central"
"Seymour School District","2016-17","Literacy",23.8,38.4,37.7,2,"South Central"
"Sharon School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Sharon School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Sharon School District","2016-17","Language",NA,NA,NA,5,"Western"
"Sharon School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Sharon School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Sharon School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Shelton School District","2016-17","Numeracy",18.1,59.5,22.4,2,"South Central"
"Shelton School District","2016-17","Literacy",25.9,52.6,21.6,2,"South Central"
"Shelton School District","2016-17","Language",25,56.9,18.1,2,"South Central"
"Shelton School District","2016-17","Creative",14.7,62.4,23,2,"South Central"
"Shelton School District","2016-17","Personal",27.3,53.4,19.3,2,"South Central"
"Shelton School District","2016-17","Physical",14.4,63.5,22.1,2,"South Central"
"Sherman School District","2016-17","Creative",NA,3.6,96.4,5,"Western"
"Sherman School District","2016-17","Numeracy",7.1,14.3,78.6,5,"Western"
"Sherman School District","2016-17","Personal",3.6,7.1,89.3,5,"Western"
"Sherman School District","2016-17","Literacy",14.3,14.3,71.4,5,"Western"
"Sherman School District","2016-17","Language",3.6,17.9,78.6,5,"Western"
"Sherman School District","2016-17","Physical",NA,7.1,92.9,5,"Western"
"Side By Side Charter School District","2016-17","Creative",NA,26.1,73.9,1,"Southwest"
"Side By Side Charter School District","2016-17","Personal",13,43.5,43.5,1,"Southwest"
"Side By Side Charter School District","2016-17","Numeracy",4.3,39.1,56.5,1,"Southwest"
"Side By Side Charter School District","2016-17","Literacy",8.7,30.4,60.9,1,"Southwest"
"Side By Side Charter School District","2016-17","Language",8.7,30.4,60.9,1,"Southwest"
"Side By Side Charter School District","2016-17","Physical",NA,26.1,73.9,1,"Southwest"
"Simsbury School District","2016-17","Personal",11.1,41.2,47.7,6,"Central"
"Simsbury School District","2016-17","Numeracy",16,31.7,52.3,6,"Central"
"Simsbury School District","2016-17","Literacy",17.9,30.5,51.5,6,"Central"
"Simsbury School District","2016-17","Language",13.4,31.7,55,6,"Central"
"Simsbury School District","2016-17","Physical",10.3,31.3,58.4,6,"Central"
"Simsbury School District","2016-17","Creative",6.5,33.6,59.9,6,"Central"
"Somers School District","2016-17","Creative",6.7,24,69.3,4,"North Central"
"Somers School District","2016-17","Physical",9.3,26.7,64,4,"North Central"
"Somers School District","2016-17","Language",14.7,34.7,50.7,4,"North Central"
"Somers School District","2016-17","Numeracy",12,37.3,50.7,4,"North Central"
"Somers School District","2016-17","Literacy",16,38.7,45.3,4,"North Central"
"Somers School District","2016-17","Personal",13.3,41.3,45.3,4,"North Central"
"Southington School District","2016-17","Creative",11.8,61.3,27,4,"North Central"
"Southington School District","2016-17","Numeracy",19.5,63.5,17,4,"North Central"
"Southington School District","2016-17","Language",24.5,57.8,17.8,4,"North Central"
"Southington School District","2016-17","Physical",16,59.8,24.3,4,"North Central"
"Southington School District","2016-17","Literacy",29.8,49.5,20.8,4,"North Central"
"Southington School District","2016-17","Personal",22.3,57.8,20,4,"North Central"
"South Windsor School District","2016-17","Numeracy",14.5,31.4,54.1,6,"Central"
"South Windsor School District","2016-17","Language",16.3,32.9,50.9,6,"Central"
"South Windsor School District","2016-17","Physical",6.7,25.1,68.2,6,"Central"
"South Windsor School District","2016-17","Creative",6,26.1,67.8,6,"Central"
"South Windsor School District","2016-17","Personal",11.7,36.7,51.6,6,"Central"
"South Windsor School District","2016-17","Literacy",18,35.7,46.3,6,"Central"
"Sprague School District","2016-17","Creative",NA,14.3,85.7,3,"Eastern"
"Sprague School District","2016-17","Physical",5.7,14.3,80,3,"Eastern"
"Sprague School District","2016-17","Language",8.6,31.4,60,3,"Eastern"
"Sprague School District","2016-17","Numeracy",5.7,28.6,65.7,3,"Eastern"
"Sprague School District","2016-17","Personal",5.7,20,74.3,3,"Eastern"
"Sprague School District","2016-17","Literacy",5.7,31.4,62.9,3,"Eastern"
"Stafford School District","2016-17","Literacy",20.4,40.7,38.9,4,"North Central"
"Stafford School District","2016-17","Language",13.9,35.2,50.9,4,"North Central"
"Stafford School District","2016-17","Numeracy",13.9,44.4,41.7,4,"North Central"
"Stafford School District","2016-17","Personal",9.3,32.4,58.3,4,"North Central"
"Stafford School District","2016-17","Creative",2.8,27.8,69.4,4,"North Central"
"Stafford School District","2016-17","Physical",0.9,29.6,69.4,4,"North Central"
"Stamford Academy District","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"Stamford Academy District","2016-17","Language",NA,NA,NA,1,"Southwest"
"Stamford Academy District","2016-17","Creative",NA,NA,NA,1,"Southwest"
"Stamford Academy District","2016-17","Personal",NA,NA,NA,1,"Southwest"
"Stamford Academy District","2016-17","Physical",NA,NA,NA,1,"Southwest"
"Stamford Academy District","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"Stamford Charter School for Excellence District","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"Stamford Charter School for Excellence District","2016-17","Language",NA,NA,NA,1,"Southwest"
"Stamford Charter School for Excellence District","2016-17","Physical",NA,NA,NA,1,"Southwest"
"Stamford Charter School for Excellence District","2016-17","Creative",NA,NA,NA,1,"Southwest"
"Stamford Charter School for Excellence District","2016-17","Personal",NA,NA,NA,1,"Southwest"
"Stamford Charter School for Excellence District","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"Stamford School District","2016-17","Language",29.3,36.1,34.6,1,"Southwest"
"Stamford School District","2016-17","Personal",19.3,40.4,40.3,1,"Southwest"
"Stamford School District","2016-17","Numeracy",25.3,37.3,37.4,1,"Southwest"
"Stamford School District","2016-17","Literacy",30.1,36.7,33.3,1,"Southwest"
"Stamford School District","2016-17","Creative",12.9,38.9,48.3,1,"Southwest"
"Stamford School District","2016-17","Physical",11.4,37.2,51.4,1,"Southwest"
"Sterling School District","2016-17","Literacy",40.5,35.1,24.3,3,"Eastern"
"Sterling School District","2016-17","Creative",10.8,37.8,51.4,3,"Eastern"
"Sterling School District","2016-17","Physical",8.1,51.4,40.5,3,"Eastern"
"Sterling School District","2016-17","Numeracy",24.3,51.4,24.3,3,"Eastern"
"Sterling School District","2016-17","Personal",24.3,59.5,16.2,3,"Eastern"
"Sterling School District","2016-17","Language",35.1,43.2,21.6,3,"Eastern"
"Stonington School District","2016-17","Personal",10.7,25.4,63.9,3,"Eastern"
"Stonington School District","2016-17","Physical",9,14.8,76.2,3,"Eastern"
"Stonington School District","2016-17","Creative",5.7,15.6,78.7,3,"Eastern"
"Stonington School District","2016-17","Numeracy",13.1,17.2,69.7,3,"Eastern"
"Stonington School District","2016-17","Literacy",16.4,23,60.7,3,"Eastern"
"Stonington School District","2016-17","Language",12.3,30.3,57.4,3,"Eastern"
"Stratford School District","2016-17","Physical",12.9,37,50.1,1,"Southwest"
"Stratford School District","2016-17","Creative",19.6,31.8,48.6,1,"Southwest"
"Stratford School District","2016-17","Personal",23.2,43,33.9,1,"Southwest"
"Stratford School District","2016-17","Language",25.2,44.1,30.7,1,"Southwest"
"Stratford School District","2016-17","Numeracy",26.5,42.3,31.2,1,"Southwest"
"Stratford School District","2016-17","Literacy",31.2,40.1,28.7,1,"Southwest"
"Suffield School District","2016-17","Personal",12.4,45,42.6,4,"North Central"
"Suffield School District","2016-17","Physical",6.2,47.3,46.5,4,"North Central"
"Suffield School District","2016-17","Numeracy",7.8,48.8,43.4,4,"North Central"
"Suffield School District","2016-17","Language",14,55.8,30.2,4,"North Central"
"Suffield School District","2016-17","Literacy",15.5,44.2,40.3,4,"North Central"
"Suffield School District","2016-17","Creative",4.7,49.6,45.7,4,"North Central"
"The Bridge Academy District","2016-17","Creative",NA,NA,NA,1,"Southwest"
"The Bridge Academy District","2016-17","Language",NA,NA,NA,1,"Southwest"
"The Bridge Academy District","2016-17","Personal",NA,NA,NA,1,"Southwest"
"The Bridge Academy District","2016-17","Physical",NA,NA,NA,1,"Southwest"
"The Bridge Academy District","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"The Bridge Academy District","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"The Gilbert School District","2016-17","Creative",NA,NA,NA,5,"Western"
"The Gilbert School District","2016-17","Personal",NA,NA,NA,5,"Western"
"The Gilbert School District","2016-17","Physical",NA,NA,NA,5,"Western"
"The Gilbert School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"The Gilbert School District","2016-17","Language",NA,NA,NA,5,"Western"
"The Gilbert School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Thomaston School District","2016-17","Personal",37.5,48.2,14.3,5,"Western"
"Thomaston School District","2016-17","Numeracy",67.9,26.8,5.4,5,"Western"
"Thomaston School District","2016-17","Creative",25,41.1,33.9,5,"Western"
"Thomaston School District","2016-17","Literacy",69.6,23.2,7.1,5,"Western"
"Thomaston School District","2016-17","Language",55.4,41.1,3.6,5,"Western"
"Thomaston School District","2016-17","Physical",30.4,44.6,25,5,"Western"
"Thompson School District","2016-17","Personal",30.7,58.7,10.7,3,"Eastern"
"Thompson School District","2016-17","Creative",25.3,68,6.7,3,"Eastern"
"Thompson School District","2016-17","Numeracy",42.7,49.3,8,3,"Eastern"
"Thompson School District","2016-17","Language",33.3,57.3,9.3,3,"Eastern"
"Thompson School District","2016-17","Physical",13.3,72,14.7,3,"Eastern"
"Thompson School District","2016-17","Literacy",40,45.3,14.7,3,"Eastern"
"Tolland School District","2016-17","Numeracy",16.8,52.6,30.7,4,"North Central"
"Tolland School District","2016-17","Literacy",22.6,50.4,27,4,"North Central"
"Tolland School District","2016-17","Personal",30.7,58.4,10.9,4,"North Central"
"Tolland School District","2016-17","Creative",9.5,66.4,24.1,4,"North Central"
"Tolland School District","2016-17","Physical",8,69.3,22.6,4,"North Central"
"Tolland School District","2016-17","Language",20.4,64.2,15.3,4,"North Central"
"Torrington School District","2016-17","Physical",17.9,38.8,43.3,5,"Western"
"Torrington School District","2016-17","Literacy",27.5,45.4,27.2,5,"Western"
"Torrington School District","2016-17","Personal",21.2,51,27.8,5,"Western"
"Torrington School District","2016-17","Language",29.9,44.2,26,5,"Western"
"Torrington School District","2016-17","Numeracy",23.9,43.6,32.5,5,"Western"
"Torrington School District","2016-17","Creative",20.9,33.4,45.7,5,"Western"
"Trailblazers Academy District","2016-17","Language",NA,NA,NA,1,"Southwest"
"Trailblazers Academy District","2016-17","Personal",NA,NA,NA,1,"Southwest"
"Trailblazers Academy District","2016-17","Creative",NA,NA,NA,1,"Southwest"
"Trailblazers Academy District","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"Trailblazers Academy District","2016-17","Physical",NA,NA,NA,1,"Southwest"
"Trailblazers Academy District","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"Trumbull School District","2016-17","Creative",15.3,54.9,29.8,1,"Southwest"
"Trumbull School District","2016-17","Personal",21.8,51.4,26.8,1,"Southwest"
"Trumbull School District","2016-17","Language",28.6,44.1,27.3,1,"Southwest"
"Trumbull School District","2016-17","Numeracy",23.6,49.6,26.8,1,"Southwest"
"Trumbull School District","2016-17","Physical",16.5,57.4,26.1,1,"Southwest"
"Trumbull School District","2016-17","Literacy",28.3,43.1,28.6,1,"Southwest"
"Unified School District #1","2016-17","Personal",NA,NA,NA,NA,NA
"Unified School District #1","2016-17","Numeracy",NA,NA,NA,NA,NA
"Unified School District #1","2016-17","Creative",NA,NA,NA,NA,NA
"Unified School District #1","2016-17","Physical",NA,NA,NA,NA,NA
"Unified School District #1","2016-17","Literacy",NA,NA,NA,NA,NA
"Unified School District #1","2016-17","Language",NA,NA,NA,NA,NA
"Unified School District #2","2016-17","Numeracy",NA,NA,NA,4,"North Central"
"Unified School District #2","2016-17","Physical",NA,NA,NA,4,"North Central"
"Unified School District #2","2016-17","Literacy",NA,NA,NA,4,"North Central"
"Unified School District #2","2016-17","Creative",NA,NA,NA,4,"North Central"
"Unified School District #2","2016-17","Language",NA,NA,NA,4,"North Central"
"Unified School District #2","2016-17","Personal",NA,NA,NA,4,"North Central"
"Union School District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Union School District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Union School District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Union School District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Union School District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Union School District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Vernon School District","2016-17","Personal",22.3,41.2,36.6,4,"North Central"
"Vernon School District","2016-17","Language",26.1,34,39.9,4,"North Central"
"Vernon School District","2016-17","Numeracy",20.2,36.1,43.7,4,"North Central"
"Vernon School District","2016-17","Physical",11.3,40.8,47.9,4,"North Central"
"Vernon School District","2016-17","Creative",14.3,42.4,43.3,4,"North Central"
"Vernon School District","2016-17","Literacy",19.7,42.4,37.8,4,"North Central"
"Voluntown School District","2016-17","Language",4.3,13,82.6,3,"Eastern"
"Voluntown School District","2016-17","Numeracy",NA,26.1,73.9,3,"Eastern"
"Voluntown School District","2016-17","Personal",4.3,17.4,78.3,3,"Eastern"
"Voluntown School District","2016-17","Physical",NA,13,87,3,"Eastern"
"Voluntown School District","2016-17","Creative",NA,21.7,78.3,3,"Eastern"
"Voluntown School District","2016-17","Literacy",NA,30.4,69.6,3,"Eastern"
"Wallingford School District","2016-17","Physical",8.9,38,53.1,6,"Central"
"Wallingford School District","2016-17","Creative",6.4,40,53.6,6,"Central"
"Wallingford School District","2016-17","Numeracy",18,39.5,42.5,6,"Central"
"Wallingford School District","2016-17","Literacy",19,40.7,40.2,6,"Central"
"Wallingford School District","2016-17","Personal",19,41.7,39.3,6,"Central"
"Wallingford School District","2016-17","Language",23.7,43,33.3,6,"Central"
"Waterbury School District","2016-17","Creative",19.8,48.3,31.8,5,"Western"
"Waterbury School District","2016-17","Language",34.8,40,25.1,5,"Western"
"Waterbury School District","2016-17","Physical",21.1,44.3,34.6,5,"Western"
"Waterbury School District","2016-17","Personal",24.2,46.6,29.2,5,"Western"
"Waterbury School District","2016-17","Literacy",34.9,41.6,23.5,5,"Western"
"Waterbury School District","2016-17","Numeracy",34.4,41.3,24.3,5,"Western"
