"FixedDistrict","Year","Domain","Level 1","Level 2","Level 3","R#","Region"
"Capitol Region Education Council","2016-17","Physical",8.1,43.1,48.9,4,"North Central"
"Capitol Region Education Council","2016-17","Personal",14.8,48.3,36.9,4,"North Central"
"Capitol Region Education Council","2016-17","Creative",7.9,47.6,44.5,4,"North Central"
"Capitol Region Education Council","2016-17","Literacy",21.6,39,39.4,4,"North Central"
"Capitol Region Education Council","2016-17","Numeracy",15.3,40.1,44.6,4,"North Central"
"Capitol Region Education Council","2016-17","Language",17.9,39.7,42.4,4,"North Central"
"Chaplin School District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Chaplin School District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Chaplin School District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Chaplin School District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Chaplin School District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Chaplin School District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Charter School for Young Children on Asylum Hill","2016-17","Numeracy",NA,NA,NA,4,"North Central"
"Charter School for Young Children on Asylum Hill","2016-17","Literacy",NA,NA,NA,4,"North Central"
"Charter School for Young Children on Asylum Hill","2016-17","Language",NA,NA,NA,4,"North Central"
"Charter School for Young Children on Asylum Hill","2016-17","Physical",NA,NA,NA,4,"North Central"
"Charter School for Young Children on Asylum Hill","2016-17","Personal",NA,NA,NA,4,"North Central"
"Charter School for Young Children on Asylum Hill","2016-17","Creative",NA,NA,NA,4,"North Central"
"Cheshire School District","2016-17","Numeracy",8.3,37.1,54.6,5,"Western"
"Cheshire School District","2016-17","Creative",6.7,40,53.3,5,"Western"
"Cheshire School District","2016-17","Personal",13.3,47.1,39.6,5,"Western"
"Cheshire School District","2016-17","Physical",7.1,34.6,58.3,5,"Western"
"Cheshire School District","2016-17","Language",15.4,37.9,46.7,5,"Western"
"Cheshire School District","2016-17","Literacy",10.4,40.8,48.8,5,"Western"
"Chester School District","2016-17","Literacy",14.3,17.9,67.9,3,"Eastern"
"Chester School District","2016-17","Numeracy",7.1,21.4,71.4,3,"Eastern"
"Chester School District","2016-17","Creative",7.1,NA,92.9,3,"Eastern"
"Chester School District","2016-17","Personal",7.1,14.3,78.6,3,"Eastern"
"Chester School District","2016-17","Language",3.6,14.3,82.1,3,"Eastern"
"Chester School District","2016-17","Physical",3.6,3.6,92.9,3,"Eastern"
"Clinton School District","2016-17","Numeracy",19.8,47.5,32.7,3,"Eastern"
"Clinton School District","2016-17","Literacy",23.8,48.5,27.7,3,"Eastern"
"Clinton School District","2016-17","Creative",5,50.5,44.6,3,"Eastern"
"Clinton School District","2016-17","Personal",12.9,55.4,31.7,3,"Eastern"
"Clinton School District","2016-17","Language",23.8,50.5,25.7,3,"Eastern"
"Clinton School District","2016-17","Physical",5,46.5,48.5,3,"Eastern"
"Colchester School District","2016-17","Physical",6.5,32.4,61.2,3,"Eastern"
"Colchester School District","2016-17","Numeracy",11.5,45.3,43.2,3,"Eastern"
"Colchester School District","2016-17","Personal",11.5,38.8,49.6,3,"Eastern"
"Colchester School District","2016-17","Literacy",15.1,50.4,34.5,3,"Eastern"
"Colchester School District","2016-17","Creative",4.3,30.2,65.5,3,"Eastern"
"Colchester School District","2016-17","Language",12.9,45.3,41.7,3,"Eastern"
"Colebrook School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Colebrook School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Colebrook School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Colebrook School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Colebrook School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Colebrook School District","2016-17","Language",NA,NA,NA,5,"Western"
"Columbia School District","2016-17","Numeracy",28.3,37,34.8,3,"Eastern"
"Columbia School District","2016-17","Personal",19.6,54.3,26.1,3,"Eastern"
"Columbia School District","2016-17","Literacy",26.1,50,23.9,3,"Eastern"
"Columbia School District","2016-17","Creative",13,54.3,32.6,3,"Eastern"
"Columbia School District","2016-17","Physical",15.2,52.2,32.6,3,"Eastern"
"Columbia School District","2016-17","Language",32.6,52.2,15.2,3,"Eastern"
"Common Ground High School District","2016-17","Numeracy",NA,NA,NA,2,"South Central"
"Common Ground High School District","2016-17","Personal",NA,NA,NA,2,"South Central"
"Common Ground High School District","2016-17","Language",NA,NA,NA,2,"South Central"
"Common Ground High School District","2016-17","Physical",NA,NA,NA,2,"South Central"
"Common Ground High School District","2016-17","Creative",NA,NA,NA,2,"South Central"
"Common Ground High School District","2016-17","Literacy",NA,NA,NA,2,"South Central"
"Connecticut","2016-17","Language",24.4,40.1,35.5,NA,NA
"Connecticut","2016-17","Numeracy",22,41.5,36.6,NA,NA
"Connecticut","2016-17","Literacy",25.4,40,34.6,NA,NA
"Connecticut","2016-17","Personal",19.5,43,37.5,NA,NA
"Connecticut","2016-17","Creative",13.1,41.3,45.5,NA,NA
"Connecticut","2016-17","Physical",12.5,41.2,46.3,NA,NA
"Connecticut Technical High School System","2016-17","Personal",NA,NA,NA,NA,NA
"Connecticut Technical High School System","2016-17","Language",NA,NA,NA,NA,NA
"Connecticut Technical High School System","2016-17","Literacy",NA,NA,NA,NA,NA
"Connecticut Technical High School System","2016-17","Creative",NA,NA,NA,NA,NA
"Connecticut Technical High School System","2016-17","Physical",NA,NA,NA,NA,NA
"Connecticut Technical High School System","2016-17","Numeracy",NA,NA,NA,NA,NA
"Cooperative Educational Services","2016-17","Creative",NA,9.8,90.2,1,"Southwest"
"Cooperative Educational Services","2016-17","Physical",2.4,7.3,90.2,1,"Southwest"
"Cooperative Educational Services","2016-17","Numeracy",9.8,22,68.3,1,"Southwest"
"Cooperative Educational Services","2016-17","Literacy",9.8,12.2,78,1,"Southwest"
"Cooperative Educational Services","2016-17","Language",7.3,36.6,56.1,1,"Southwest"
"Cooperative Educational Services","2016-17","Personal",7.3,12.2,80.5,1,"Southwest"
"Cornwall School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Cornwall School District","2016-17","Language",NA,NA,NA,5,"Western"
"Cornwall School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Cornwall School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Cornwall School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Cornwall School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Coventry School District","2016-17","Numeracy",36.2,49.1,14.7,3,"Eastern"
"Coventry School District","2016-17","Creative",10.3,46.6,43.1,3,"Eastern"
"Coventry School District","2016-17","Language",27.6,60.3,12.1,3,"Eastern"
"Coventry School District","2016-17","Physical",11.2,65.5,23.3,3,"Eastern"
"Coventry School District","2016-17","Personal",29.3,52.6,18.1,3,"Eastern"
"Coventry School District","2016-17","Literacy",37.9,47.4,14.7,3,"Eastern"
"Cromwell School District","2016-17","Creative",5,42.1,52.9,3,"Eastern"
"Cromwell School District","2016-17","Physical",5,45.7,49.3,3,"Eastern"
"Cromwell School District","2016-17","Language",14.3,53.6,32.1,3,"Eastern"
"Cromwell School District","2016-17","Literacy",20,45.7,34.3,3,"Eastern"
"Cromwell School District","2016-17","Personal",14.3,47.9,37.9,3,"Eastern"
"Cromwell School District","2016-17","Numeracy",7.9,48.6,43.6,3,"Eastern"
"Danbury School District","2016-17","Numeracy",33.4,37.6,28.9,5,"Western"
"Danbury School District","2016-17","Language",34.1,37.4,28.5,5,"Western"
"Danbury School District","2016-17","Literacy",33.8,37.4,28.8,5,"Western"
"Danbury School District","2016-17","Personal",26.7,44.2,29.1,5,"Western"
"Danbury School District","2016-17","Creative",21.4,42.1,36.5,5,"Western"
"Danbury School District","2016-17","Physical",18.2,43.5,38.3,5,"Western"
"Darien School District","2016-17","Numeracy",1.1,11.5,87.4,1,"Southwest"
"Darien School District","2016-17","Language",2.5,20.5,77,1,"Southwest"
"Darien School District","2016-17","Physical",1.4,10.1,88.5,1,"Southwest"
"Darien School District","2016-17","Creative",0.5,8.8,90.7,1,"Southwest"
"Darien School District","2016-17","Personal",2.7,21.6,75.6,1,"Southwest"
"Darien School District","2016-17","Literacy",2.2,14.8,83,1,"Southwest"
"Deep River School District","2016-17","Language",20,50,30,3,"Eastern"
"Deep River School District","2016-17","Numeracy",16.7,50,33.3,3,"Eastern"
"Deep River School District","2016-17","Creative",10,53.3,36.7,3,"Eastern"
"Deep River School District","2016-17","Personal",23.3,43.3,33.3,3,"Eastern"
"Deep River School District","2016-17","Literacy",26.7,46.7,26.7,3,"Eastern"
"Deep River School District","2016-17","Physical",20,40,40,3,"Eastern"
