"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value","R#","Region"
"East Windsor School District",900324800,"2009-2010","Out-of-School Suspension","Sanctions","Number",143,4,"North Central"
"East Windsor School District",900324800,"2009-2010","Expulsion","Sanctions","Number",0,4,"North Central"
"East Windsor School District",900324800,"2009-2010","Bus Suspension","Sanctions","Number",19,4,"North Central"
"East Windsor School District",900324800,"2010-2011","In-School Suspension","Sanctions","Number",273,4,"North Central"
"East Windsor School District",900324800,"2010-2011","Out-of-School Suspension","Sanctions","Number",124,4,"North Central"
"East Windsor School District",900324800,"2010-2011","Expulsion","Sanctions","Number",0,4,"North Central"
"East Windsor School District",900324800,"2010-2011","Bus Suspension","Sanctions","Number",6,4,"North Central"
"East Windsor School District",900324800,"2011-2012","In-School Suspension","Sanctions","Number",296,4,"North Central"
"East Windsor School District",900324800,"2011-2012","Out-of-School Suspension","Sanctions","Number",118,4,"North Central"
"East Windsor School District",900324800,"2011-2012","Expulsion","Sanctions","Number",0,4,"North Central"
"East Windsor School District",900324800,"2011-2012","Bus Suspension","Sanctions","Number",12,4,"North Central"
"East Windsor School District",900324800,"2012-2013","In-School Suspension","Sanctions","Number",243,4,"North Central"
"East Windsor School District",900324800,"2012-2013","Out-of-School Suspension","Sanctions","Number",92,4,"North Central"
"East Windsor School District",900324800,"2012-2013","Expulsion","Sanctions","Number",-9999,4,"North Central"
"East Windsor School District",900324800,"2012-2013","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"East Windsor School District",900324800,"2013-2014","In-School Suspension","Sanctions","Number",198,4,"North Central"
"East Windsor School District",900324800,"2013-2014","Out-of-School Suspension","Sanctions","Number",100,4,"North Central"
"East Windsor School District",900324800,"2013-2014","Expulsion","Sanctions","Number",7,4,"North Central"
"East Windsor School District",900324800,"2013-2014","Bus Suspension","Sanctions","Number",18,4,"North Central"
"East Windsor School District",900324800,"2014-2015","In-School Suspension","Sanctions","Number",106,4,"North Central"
"East Windsor School District",900324800,"2014-2015","Out-of-School Suspension","Sanctions","Number",47,4,"North Central"
"East Windsor School District",900324800,"2014-2015","Expulsion","Sanctions","Number",-9999,4,"North Central"
"East Windsor School District",900324800,"2014-2015","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"East Windsor School District",900324800,"2015-2016","In-School Suspension","Sanctions","Number",133,4,"North Central"
"East Windsor School District",900324800,"2015-2016","Out-of-School Suspension","Sanctions","Number",59,4,"North Central"
"East Windsor School District",900324800,"2015-2016","Expulsion","Sanctions","Number",-9999,4,"North Central"
"East Windsor School District",900324800,"2015-2016","Bus Suspension","Sanctions","Number",32,4,"North Central"
"East Windsor School District",900324800,"2016-2017","In-School Suspension","Sanctions","Number",134,4,"North Central"
"East Windsor School District",900324800,"2016-2017","Out-of-School Suspension","Sanctions","Number",78,4,"North Central"
"East Windsor School District",900324800,"2016-2017","Expulsion","Sanctions","Number",8,4,"North Central"
"East Windsor School District",900324800,"2016-2017","Bus Suspension","Sanctions","Number",30,4,"North Central"
"Ellington School District",901325360,"2009-2010","In-School Suspension","Sanctions","Number",287,4,"North Central"
"Ellington School District",901325360,"2009-2010","Out-of-School Suspension","Sanctions","Number",44,4,"North Central"
"Ellington School District",901325360,"2009-2010","Expulsion","Sanctions","Number",0,4,"North Central"
"Ellington School District",901325360,"2009-2010","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2010-2011","In-School Suspension","Sanctions","Number",300,4,"North Central"
"Ellington School District",901325360,"2010-2011","Out-of-School Suspension","Sanctions","Number",57,4,"North Central"
"Ellington School District",901325360,"2010-2011","Expulsion","Sanctions","Number",7,4,"North Central"
"Ellington School District",901325360,"2010-2011","Bus Suspension","Sanctions","Number",14,4,"North Central"
"Ellington School District",901325360,"2011-2012","In-School Suspension","Sanctions","Number",248,4,"North Central"
"Ellington School District",901325360,"2011-2012","Out-of-School Suspension","Sanctions","Number",73,4,"North Central"
"Ellington School District",901325360,"2011-2012","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2011-2012","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2012-2013","In-School Suspension","Sanctions","Number",232,4,"North Central"
"Ellington School District",901325360,"2012-2013","Out-of-School Suspension","Sanctions","Number",57,4,"North Central"
"Ellington School District",901325360,"2012-2013","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2012-2013","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2013-2014","In-School Suspension","Sanctions","Number",154,4,"North Central"
"Ellington School District",901325360,"2013-2014","Out-of-School Suspension","Sanctions","Number",53,4,"North Central"
"Ellington School District",901325360,"2013-2014","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2013-2014","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2014-2015","In-School Suspension","Sanctions","Number",199,4,"North Central"
"Ellington School District",901325360,"2014-2015","Out-of-School Suspension","Sanctions","Number",60,4,"North Central"
"Ellington School District",901325360,"2014-2015","Expulsion","Sanctions","Number",0,4,"North Central"
"Ellington School District",901325360,"2014-2015","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2015-2016","In-School Suspension","Sanctions","Number",209,4,"North Central"
"Ellington School District",901325360,"2015-2016","Out-of-School Suspension","Sanctions","Number",48,4,"North Central"
"Ellington School District",901325360,"2015-2016","Expulsion","Sanctions","Number",7,4,"North Central"
"Ellington School District",901325360,"2015-2016","Bus Suspension","Sanctions","Number",11,4,"North Central"
"Ellington School District",901325360,"2016-2017","In-School Suspension","Sanctions","Number",266,4,"North Central"
"Ellington School District",901325360,"2016-2017","Out-of-School Suspension","Sanctions","Number",78,4,"North Central"
"Ellington School District",901325360,"2016-2017","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Ellington School District",901325360,"2016-2017","Bus Suspension","Sanctions","Number",6,4,"North Central"
"Elm City College Preparatory School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",76,2,"South Central"
"Elm City College Preparatory School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",142,2,"South Central"
"Elm City College Preparatory School District",NA,"2009-2010","Expulsion","Sanctions","Number",0,2,"South Central"
"Elm City College Preparatory School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",110,2,"South Central"
"Elm City College Preparatory School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",175,2,"South Central"
"Elm City College Preparatory School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",320,2,"South Central"
"Elm City College Preparatory School District",NA,"2010-2011","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Elm City College Preparatory School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",94,2,"South Central"
"Elm City College Preparatory School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",448,2,"South Central"
"Elm City College Preparatory School District",NA,"2011-2012","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Elm City College Preparatory School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",230,2,"South Central"
"Elm City College Preparatory School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",398,2,"South Central"
"Elm City College Preparatory School District",NA,"2012-2013","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",365,2,"South Central"
"Elm City College Preparatory School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",254,2,"South Central"
"Elm City College Preparatory School District",NA,"2013-2014","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",16,2,"South Central"
"Elm City College Preparatory School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",152,2,"South Central"
"Elm City College Preparatory School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",137,2,"South Central"
"Elm City College Preparatory School District",NA,"2014-2015","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",34,2,"South Central"
"Elm City College Preparatory School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",158,2,"South Central"
"Elm City College Preparatory School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",185,2,"South Central"
"Elm City College Preparatory School District",NA,"2015-2016","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",25,2,"South Central"
"Elm City College Preparatory School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",99,2,"South Central"
"Elm City College Preparatory School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",201,2,"South Central"
"Elm City College Preparatory School District",NA,"2016-2017","Expulsion","Sanctions","Number",0,2,"South Central"
"Elm City College Preparatory School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",-9999,2,"South Central"
"Elm City Montessori School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2009-2010","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2010-2011","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2011-2012","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2012-2013","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2013-2014","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2014-2015","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",6,2,"South Central"
"Elm City Montessori School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999,2,"South Central"
"Elm City Montessori School District",NA,"2016-2017","Expulsion","Sanctions","Number",0,2,"South Central"
"Elm City Montessori School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",13,2,"South Central"
"Enfield School District",900325990,"2009-2010","In-School Suspension","Sanctions","Number",367,4,"North Central"
"Enfield School District",900325990,"2009-2010","Out-of-School Suspension","Sanctions","Number",544,4,"North Central"
"Enfield School District",900325990,"2009-2010","Expulsion","Sanctions","Number",17,4,"North Central"
"Enfield School District",900325990,"2009-2010","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Enfield School District",900325990,"2010-2011","In-School Suspension","Sanctions","Number",888,4,"North Central"
"Enfield School District",900325990,"2010-2011","Out-of-School Suspension","Sanctions","Number",240,4,"North Central"
"Enfield School District",900325990,"2010-2011","Expulsion","Sanctions","Number",24,4,"North Central"
"Enfield School District",900325990,"2010-2011","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Enfield School District",900325990,"2011-2012","In-School Suspension","Sanctions","Number",969,4,"North Central"
"Enfield School District",900325990,"2011-2012","Out-of-School Suspension","Sanctions","Number",256,4,"North Central"
"Enfield School District",900325990,"2011-2012","Expulsion","Sanctions","Number",22,4,"North Central"
"Enfield School District",900325990,"2011-2012","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Enfield School District",900325990,"2012-2013","In-School Suspension","Sanctions","Number",981,4,"North Central"
"Enfield School District",900325990,"2012-2013","Out-of-School Suspension","Sanctions","Number",313,4,"North Central"
"Enfield School District",900325990,"2012-2013","Expulsion","Sanctions","Number",24,4,"North Central"
"Enfield School District",900325990,"2012-2013","Bus Suspension","Sanctions","Number",26,4,"North Central"
"Enfield School District",900325990,"2013-2014","In-School Suspension","Sanctions","Number",789,4,"North Central"
"Enfield School District",900325990,"2013-2014","Out-of-School Suspension","Sanctions","Number",327,4,"North Central"
"Enfield School District",900325990,"2013-2014","Expulsion","Sanctions","Number",25,4,"North Central"
"Enfield School District",900325990,"2013-2014","Bus Suspension","Sanctions","Number",11,4,"North Central"
"Enfield School District",900325990,"2014-2015","In-School Suspension","Sanctions","Number",777,4,"North Central"
"Enfield School District",900325990,"2014-2015","Out-of-School Suspension","Sanctions","Number",310,4,"North Central"
"Enfield School District",900325990,"2014-2015","Expulsion","Sanctions","Number",14,4,"North Central"
"Enfield School District",900325990,"2014-2015","Bus Suspension","Sanctions","Number",12,4,"North Central"
"Enfield School District",900325990,"2015-2016","In-School Suspension","Sanctions","Number",714,4,"North Central"
"Enfield School District",900325990,"2015-2016","Out-of-School Suspension","Sanctions","Number",289,4,"North Central"
"Enfield School District",900325990,"2015-2016","Expulsion","Sanctions","Number",14,4,"North Central"
"Enfield School District",900325990,"2015-2016","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Enfield School District",900325990,"2016-2017","In-School Suspension","Sanctions","Number",742,4,"North Central"
"Enfield School District",900325990,"2016-2017","Out-of-School Suspension","Sanctions","Number",263,4,"North Central"
"Enfield School District",900325990,"2016-2017","Expulsion","Sanctions","Number",16,4,"North Central"
"Enfield School District",900325990,"2016-2017","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Essex School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2009-2010","Expulsion","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2010-2011","Expulsion","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2011-2012","Expulsion","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",6,3,"Eastern"
"Essex School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2012-2013","Expulsion","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2013-2014","Expulsion","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2014-2015","Expulsion","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666,3,"Eastern"
"Essex School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Essex School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2016-2017","Expulsion","Sanctions","Number",0,3,"Eastern"
"Essex School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Explorations District",NA,"2009-2010","In-School Suspension","Sanctions","Number",10,5,"Western"
"Explorations District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",6,5,"Western"
"Explorations District",NA,"2009-2010","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2010-2011","In-School Suspension","Sanctions","Number",59,5,"Western"
"Explorations District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999,5,"Western"
"Explorations District",NA,"2010-2011","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2011-2012","In-School Suspension","Sanctions","Number",36,5,"Western"
"Explorations District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999,5,"Western"
"Explorations District",NA,"2011-2012","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2012-2013","In-School Suspension","Sanctions","Number",19,5,"Western"
"Explorations District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",11,5,"Western"
"Explorations District",NA,"2012-2013","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2013-2014","In-School Suspension","Sanctions","Number",10,5,"Western"
"Explorations District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",28,5,"Western"
"Explorations District",NA,"2013-2014","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2014-2015","In-School Suspension","Sanctions","Number",11,5,"Western"
"Explorations District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",7,5,"Western"
"Explorations District",NA,"2014-2015","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2015-2016","In-School Suspension","Sanctions","Number",12,5,"Western"
"Explorations District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",16,5,"Western"
"Explorations District",NA,"2015-2016","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2015-2016","Bus Suspension","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2016-2017","In-School Suspension","Sanctions","Number",10,5,"Western"
"Explorations District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",10,5,"Western"
"Explorations District",NA,"2016-2017","Expulsion","Sanctions","Number",0,5,"Western"
"Explorations District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0,5,"Western"
"Fairfield School District",900126620,"2009-2010","In-School Suspension","Sanctions","Number",427,1,"Southwest"
"Fairfield School District",900126620,"2009-2010","Out-of-School Suspension","Sanctions","Number",95,1,"Southwest"
"Fairfield School District",900126620,"2009-2010","Expulsion","Sanctions","Number",6,1,"Southwest"
"Fairfield School District",900126620,"2009-2010","Bus Suspension","Sanctions","Number",0,1,"Southwest"
"Fairfield School District",900126620,"2010-2011","In-School Suspension","Sanctions","Number",384,1,"Southwest"
"Fairfield School District",900126620,"2010-2011","Out-of-School Suspension","Sanctions","Number",71,1,"Southwest"
"Fairfield School District",900126620,"2010-2011","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2010-2011","Bus Suspension","Sanctions","Number",0,1,"Southwest"
"Fairfield School District",900126620,"2011-2012","In-School Suspension","Sanctions","Number",374,1,"Southwest"
"Fairfield School District",900126620,"2011-2012","Out-of-School Suspension","Sanctions","Number",63,1,"Southwest"
"Fairfield School District",900126620,"2011-2012","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2011-2012","Bus Suspension","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2012-2013","In-School Suspension","Sanctions","Number",328,1,"Southwest"
"Fairfield School District",900126620,"2012-2013","Out-of-School Suspension","Sanctions","Number",62,1,"Southwest"
"Fairfield School District",900126620,"2012-2013","Expulsion","Sanctions","Number",0,1,"Southwest"
"Fairfield School District",900126620,"2012-2013","Bus Suspension","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2013-2014","In-School Suspension","Sanctions","Number",297,1,"Southwest"
"Fairfield School District",900126620,"2013-2014","Out-of-School Suspension","Sanctions","Number",40,1,"Southwest"
"Fairfield School District",900126620,"2013-2014","Expulsion","Sanctions","Number",7,1,"Southwest"
"Fairfield School District",900126620,"2013-2014","Bus Suspension","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2014-2015","In-School Suspension","Sanctions","Number",187,1,"Southwest"
"Fairfield School District",900126620,"2014-2015","Out-of-School Suspension","Sanctions","Number",46,1,"Southwest"
"Fairfield School District",900126620,"2014-2015","Expulsion","Sanctions","Number",0,1,"Southwest"
"Fairfield School District",900126620,"2014-2015","Bus Suspension","Sanctions","Number",12,1,"Southwest"
"Fairfield School District",900126620,"2015-2016","In-School Suspension","Sanctions","Number",275,1,"Southwest"
"Fairfield School District",900126620,"2015-2016","Out-of-School Suspension","Sanctions","Number",58,1,"Southwest"
"Fairfield School District",900126620,"2015-2016","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2015-2016","Bus Suspension","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2016-2017","In-School Suspension","Sanctions","Number",294,1,"Southwest"
"Fairfield School District",900126620,"2016-2017","Out-of-School Suspension","Sanctions","Number",32,1,"Southwest"
"Fairfield School District",900126620,"2016-2017","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Fairfield School District",900126620,"2016-2017","Bus Suspension","Sanctions","Number",0,1,"Southwest"
"Farmington School District",900327600,"2009-2010","In-School Suspension","Sanctions","Number",135,6,"Central"
"Farmington School District",900327600,"2009-2010","Out-of-School Suspension","Sanctions","Number",91,6,"Central"
"Farmington School District",900327600,"2009-2010","Expulsion","Sanctions","Number",-9999,6,"Central"
"Farmington School District",900327600,"2009-2010","Bus Suspension","Sanctions","Number",0,6,"Central"
"Farmington School District",900327600,"2010-2011","In-School Suspension","Sanctions","Number",85,6,"Central"
"Farmington School District",900327600,"2010-2011","Out-of-School Suspension","Sanctions","Number",76,6,"Central"
"Farmington School District",900327600,"2010-2011","Expulsion","Sanctions","Number",-9999,6,"Central"
"Farmington School District",900327600,"2010-2011","Bus Suspension","Sanctions","Number",12,6,"Central"
"Farmington School District",900327600,"2011-2012","In-School Suspension","Sanctions","Number",59,6,"Central"
"Farmington School District",900327600,"2011-2012","Out-of-School Suspension","Sanctions","Number",29,6,"Central"
"Farmington School District",900327600,"2011-2012","Expulsion","Sanctions","Number",-9999,6,"Central"
"Farmington School District",900327600,"2011-2012","Bus Suspension","Sanctions","Number",14,6,"Central"
"Farmington School District",900327600,"2012-2013","In-School Suspension","Sanctions","Number",49,6,"Central"
"Farmington School District",900327600,"2012-2013","Out-of-School Suspension","Sanctions","Number",54,6,"Central"
"Farmington School District",900327600,"2012-2013","Expulsion","Sanctions","Number",0,6,"Central"
"Farmington School District",900327600,"2012-2013","Bus Suspension","Sanctions","Number",7,6,"Central"
"Farmington School District",900327600,"2013-2014","In-School Suspension","Sanctions","Number",66,6,"Central"
"Farmington School District",900327600,"2013-2014","Out-of-School Suspension","Sanctions","Number",36,6,"Central"
"Farmington School District",900327600,"2013-2014","Expulsion","Sanctions","Number",-9999,6,"Central"
"Farmington School District",900327600,"2013-2014","Bus Suspension","Sanctions","Number",8,6,"Central"
"Farmington School District",900327600,"2014-2015","In-School Suspension","Sanctions","Number",55,6,"Central"
"Farmington School District",900327600,"2014-2015","Out-of-School Suspension","Sanctions","Number",22,6,"Central"
"Farmington School District",900327600,"2014-2015","Expulsion","Sanctions","Number",0,6,"Central"
"Farmington School District",900327600,"2014-2015","Bus Suspension","Sanctions","Number",0,6,"Central"
"Farmington School District",900327600,"2015-2016","In-School Suspension","Sanctions","Number",56,6,"Central"
"Farmington School District",900327600,"2015-2016","Out-of-School Suspension","Sanctions","Number",29,6,"Central"
"Farmington School District",900327600,"2015-2016","Expulsion","Sanctions","Number",-9999,6,"Central"
"Farmington School District",900327600,"2015-2016","Bus Suspension","Sanctions","Number",-9999,6,"Central"
"Farmington School District",900327600,"2016-2017","In-School Suspension","Sanctions","Number",33,6,"Central"
"Farmington School District",900327600,"2016-2017","Out-of-School Suspension","Sanctions","Number",28,6,"Central"
"Farmington School District",900327600,"2016-2017","Expulsion","Sanctions","Number",0,6,"Central"
"Farmington School District",900327600,"2016-2017","Bus Suspension","Sanctions","Number",6,6,"Central"
"Franklin School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",0,3,"Eastern"
"Franklin School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Franklin School District",NA,"2009-2010","Expulsion","Sanctions","Number",0,3,"Eastern"
"Franklin School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Franklin School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",-6666,3,"Eastern"
"Franklin School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-6666,3,"Eastern"
