"Year","Domain","FixedDistrict","Level 1","Level 2","Level 3"
"2016-17","Literacy","Hampton School District",NA,NA,NA
"2016-17","Literacy","Hartford School District",36.4,36.4,27.3
"2016-17","Literacy","Hartland School District",NA,NA,NA
"2016-17","Literacy","Hebron School District",11.4,35.7,52.9
"2016-17","Literacy","Highville Charter School District",35,27.5,37.5
"2016-17","Literacy","Integrated Day Charter School District",16.1,41.9,41.9
"2016-17","Literacy","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Literacy","Jumoke Academy District",9.6,58.9,31.5
"2016-17","Literacy","Kent School District",NA,NA,NA
"2016-17","Literacy","Killingly School District",20,30.6,49.4
"2016-17","Literacy","LEARN",21.3,35.5,43.2
"2016-17","Literacy","Lebanon School District",22.2,51.9,25.9
"2016-17","Literacy","Ledyard School District",25.9,35.4,38.6
"2016-17","Literacy","Lisbon School District",16.2,54.1,29.7
"2016-17","Literacy","Litchfield School District",30.4,50.7,18.8
"2016-17","Literacy","Madison School District",5.2,54.2,40.5
"2016-17","Literacy","Manchester School District",45.6,41.5,12.8
"2016-17","Literacy","Mansfield School District",20.6,51.5,27.8
"2016-17","Literacy","Marlborough School District",8.2,29.5,62.3
"2016-17","Literacy","Meriden School District",40.2,38.2,21.5
"2016-17","Literacy","Middletown School District",34,39.6,26.4
"2016-17","Literacy","Milford School District",14.5,39.8,45.7
"2016-17","Literacy","Monroe School District",12.3,53.2,34.5
"2016-17","Literacy","Montville School District",24.1,41.8,34.2
"2016-17","Literacy","Naugatuck School District",24.6,36.6,38.8
"2016-17","Literacy","New Beginnings Inc. Family Academy District",19.3,49.1,31.6
"2016-17","Literacy","New Britain School District",39.8,38.9,21.3
"2016-17","Literacy","New Canaan School District",8.4,51.1,40.5
"2016-17","Literacy","New Fairfield School District",6.6,51.5,41.9
"2016-17","Literacy","New Hartford School District",28.6,50,21.4
"2016-17","Literacy","New Haven School District",33,41.5,25.4
"2016-17","Literacy","Newington School District",30.5,44.7,24.8
"2016-17","Literacy","New London School District",32.9,49.8,17.3
"2016-17","Literacy","New Milford School District",29.8,49.1,21.1
"2016-17","Literacy","Newtown School District",15.6,41.8,42.7
"2016-17","Literacy","Norfolk School District",NA,NA,NA
"2016-17","Literacy","North Branford School District",22.7,49.6,27.7
"2016-17","Literacy","North Canaan School District",16.7,54.8,28.6
"2016-17","Literacy","North Haven School District",21.6,45.1,33.3
"2016-17","Literacy","North Stonington School District",10.2,22.4,67.3
"2016-17","Literacy","Norwalk School District",26.1,43.5,30.4
"2016-17","Literacy","Norwich Free Academy District",NA,NA,NA
"2016-17","Literacy","Norwich School District",32.8,42.8,24.4
"2016-17","Literacy","Odyssey Community School District",25,72.2,2.8
"2016-17","Literacy","Old Saybrook School District",25.7,55.7,18.6
"2016-17","Literacy","Orange School District",11.4,51.4,37.1
"2016-17","Literacy","Oxford School District",16,37.8,46.2
"2016-17","Literacy","Park City Prep Charter School District",NA,NA,NA
"2016-17","Literacy","Path Academy District",NA,NA,NA
"2016-17","Literacy","Plainfield School District",30.6,43.5,25.9
"2016-17","Literacy","Plainville School District",18.2,35.8,46
"2016-17","Literacy","Plymouth School District",27.7,37.3,34.9
"2016-17","Literacy","Pomfret School District",28,52,20
"2016-17","Literacy","Portland School District",32.7,33.7,33.7
"2016-17","Literacy","Preston School District",22.6,29,48.4
"2016-17","Literacy","Putnam School District",19.5,45.1,35.4
"2016-17","Literacy","Redding School District",13.6,59.2,27.2
"2016-17","Literacy","Regional School District 01",NA,NA,NA
"2016-17","Literacy","Regional School District 04",NA,NA,NA
"2016-17","Literacy","Regional School District 05",NA,NA,NA
"2016-17","Literacy","Regional School District 06",5,22.5,72.5
"2016-17","Literacy","Regional School District 07",NA,NA,NA
"2016-17","Literacy","Regional School District 08",NA,NA,NA
"2016-17","Literacy","Regional School District 09",NA,NA,NA
"2016-17","Literacy","Regional School District 10",5.2,28.1,66.7
"2016-17","Literacy","Regional School District 11",NA,NA,NA
"2016-17","Literacy","Regional School District 12",6.7,16.7,76.7
"2016-17","Literacy","Regional School District 13",19.1,45.2,35.7
"2016-17","Literacy","Regional School District 14",17.7,57.3,25
"2016-17","Literacy","Regional School District 15",14.6,38,47.4
"2016-17","Literacy","Regional School District 16",24.6,47.7,27.7
"2016-17","Literacy","Regional School District 17",5.7,18.4,75.9
"2016-17","Literacy","Regional School District 18",10.8,66.2,23.1
"2016-17","Literacy","Regional School District 19",NA,NA,NA
"2016-17","Literacy","Ridgefield School District",17.6,30.1,52.2
"2016-17","Literacy","Rocky Hill School District",18.5,45.1,36.4
"2016-17","Literacy","Salem School District",15.6,35.6,48.9
"2016-17","Literacy","Salisbury School District",37.5,37.5,25
"2016-17","Literacy","Scotland School District",NA,NA,NA
"2016-17","Literacy","Seymour School District",23.8,38.4,37.7
"2016-17","Literacy","Sharon School District",NA,NA,NA
"2016-17","Literacy","Shelton School District",25.9,52.6,21.6
"2016-17","Literacy","Sherman School District",14.3,14.3,71.4
"2016-17","Literacy","Side By Side Charter School District",8.7,30.4,60.9
"2016-17","Literacy","Simsbury School District",17.9,30.5,51.5
"2016-17","Literacy","Somers School District",16,38.7,45.3
"2016-17","Literacy","Southington School District",29.8,49.5,20.8
"2016-17","Literacy","South Windsor School District",18,35.7,46.3
"2016-17","Literacy","Sprague School District",5.7,31.4,62.9
"2016-17","Literacy","Stafford School District",20.4,40.7,38.9
"2016-17","Literacy","Stamford Academy District",NA,NA,NA
"2016-17","Literacy","Stamford Charter School for Excellence District",NA,NA,NA
"2016-17","Literacy","Stamford School District",30.1,36.7,33.3
"2016-17","Literacy","Sterling School District",40.5,35.1,24.3
"2016-17","Literacy","Stonington School District",16.4,23,60.7
"2016-17","Literacy","Stratford School District",31.2,40.1,28.7
"2016-17","Literacy","Suffield School District",15.5,44.2,40.3
"2016-17","Literacy","The Bridge Academy District",NA,NA,NA
"2016-17","Literacy","The Gilbert School District",NA,NA,NA
"2016-17","Literacy","Thomaston School District",69.6,23.2,7.1
"2016-17","Literacy","Thompson School District",40,45.3,14.7
"2016-17","Literacy","Tolland School District",22.6,50.4,27
"2016-17","Literacy","Torrington School District",27.5,45.4,27.2
"2016-17","Literacy","Trailblazers Academy District",NA,NA,NA
"2016-17","Literacy","Trumbull School District",28.3,43.1,28.6
"2016-17","Literacy","Unified School District #1",NA,NA,NA
"2016-17","Literacy","Unified School District #2",NA,NA,NA
"2016-17","Literacy","Union School District",NA,NA,NA
"2016-17","Literacy","Vernon School District",19.7,42.4,37.8
"2016-17","Literacy","Voluntown School District",NA,30.4,69.6
"2016-17","Literacy","Wallingford School District",19,40.7,40.2
"2016-17","Literacy","Waterbury School District",34.9,41.6,23.5
"2016-17","Literacy","Waterford School District",19.7,50.4,29.9
"2016-17","Literacy","Watertown School District",23.8,45.5,30.7
"2016-17","Literacy","Westbrook School District",16.1,42.9,41.1
"2016-17","Literacy","Western Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Literacy","West Hartford School District",15.7,37.2,47.1
"2016-17","Literacy","West Haven School District",42.1,44.4,13.6
"2016-17","Literacy","Weston School District",3.9,18.8,77.3
"2016-17","Literacy","Westport School District",8.3,42.8,48.9
"2016-17","Literacy","Wethersfield School District",20.5,45.6,33.9
"2016-17","Literacy","Willington School District",17.1,29.3,53.7
"2016-17","Literacy","Wilton School District",0.4,7.9,91.7
"2016-17","Literacy","Winchester School District",39.4,59.1,1.5
"2016-17","Literacy","Windham School District",38.1,45.1,16.8
"2016-17","Literacy","Windsor Locks School District",19.8,52.8,27.4
"2016-17","Literacy","Windsor School District",34.8,38.1,27.1
"2016-17","Literacy","Wolcott School District",12.9,42.1,45
"2016-17","Literacy","Woodbridge School District",23.2,62.1,14.7
"2016-17","Literacy","Woodstock Academy District",NA,NA,NA
"2016-17","Literacy","Woodstock School District",13.4,23.9,62.7
"2016-17","Numeracy","Achievement First Bridgeport Academy District",20.2,51.1,28.7
"2016-17","Numeracy","Achievement First Hartford Academy District",14.1,85.9,NA
"2016-17","Numeracy","Amistad Academy District",9.7,17.2,73.1
"2016-17","Numeracy","Andover School District",NA,NA,NA
"2016-17","Numeracy","Ansonia School District",23.9,36.1,40
"2016-17","Numeracy","Area Cooperative Educational Services",33.8,39.2,27
"2016-17","Numeracy","Ashford School District",2.9,42.9,54.3
"2016-17","Numeracy","Avon School District",3.5,25.3,71.2
"2016-17","Numeracy","Barkhamsted School District",NA,NA,NA
"2016-17","Numeracy","Berlin School District",25.7,61.4,12.9
"2016-17","Numeracy","Bethany School District",17.6,35.3,47.1
"2016-17","Numeracy","Bethel School District",13,34.6,52.4
"2016-17","Numeracy","Bloomfield School District",24.7,55.6,19.8
"2016-17","Numeracy","Bolton School District",18,34,48
"2016-17","Numeracy","Booker T Washington Academy District",21.4,52.4,26.2
"2016-17","Numeracy","Bozrah School District",NA,NA,NA
"2016-17","Numeracy","Branford School District",9.7,54.6,35.7
"2016-17","Numeracy","Brass City Charter School District",14.7,41.2,44.1
"2016-17","Numeracy","Bridgeport School District",31.1,41.9,27
"2016-17","Numeracy","Bristol School District",18.9,38.8,42.3
"2016-17","Numeracy","Brookfield School District",13.4,24.8,61.8
"2016-17","Numeracy","Brooklyn School District",21.8,20.7,57.5
"2016-17","Numeracy","Canaan School District",NA,NA,NA
"2016-17","Numeracy","Canterbury School District",19.6,71.7,8.7
"2016-17","Numeracy","Canton School District",6.2,21.6,72.2
"2016-17","Numeracy","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Numeracy","Capitol Region Education Council",15.3,40.1,44.6
"2016-17","Numeracy","Chaplin School District",NA,NA,NA
"2016-17","Numeracy","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Numeracy","Cheshire School District",8.3,37.1,54.6
"2016-17","Numeracy","Chester School District",7.1,21.4,71.4
"2016-17","Numeracy","Clinton School District",19.8,47.5,32.7
"2016-17","Numeracy","Colchester School District",11.5,45.3,43.2
"2016-17","Numeracy","Colebrook School District",NA,NA,NA
"2016-17","Numeracy","Columbia School District",28.3,37,34.8
"2016-17","Numeracy","Common Ground High School District",NA,NA,NA
"2016-17","Numeracy","Connecticut",22,41.5,36.6
"2016-17","Numeracy","Connecticut Technical High School System",NA,NA,NA
"2016-17","Numeracy","Cooperative Educational Services",9.8,22,68.3
"2016-17","Numeracy","Cornwall School District",NA,NA,NA
"2016-17","Numeracy","Coventry School District",36.2,49.1,14.7
"2016-17","Numeracy","Cromwell School District",7.9,48.6,43.6
"2016-17","Numeracy","Danbury School District",33.4,37.6,28.9
"2016-17","Numeracy","Darien School District",1.1,11.5,87.4
"2016-17","Numeracy","Deep River School District",16.7,50,33.3
"2016-17","Numeracy","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Numeracy","Derby School District",15.5,42.3,42.3
"2016-17","Numeracy","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Numeracy","Eastford School District",NA,NA,NA
"2016-17","Numeracy","East Granby School District",4.8,6.3,88.9
"2016-17","Numeracy","East Haddam School District",7.4,57.4,35.2
"2016-17","Numeracy","East Hampton School District",13.7,37.4,48.9
"2016-17","Numeracy","East Hartford School District",41.3,40.1,18.5
"2016-17","Numeracy","East Haven School District",28.4,49.1,22.5
"2016-17","Numeracy","East Lyme School District",25.6,46.5,27.9
"2016-17","Numeracy","Easton School District",11.5,61.5,26.9
"2016-17","Numeracy","East Windsor School District",19.5,48.1,32.5
"2016-17","Numeracy","Ellington School District",12.6,21,66.5
"2016-17","Numeracy","Elm City College Preparatory School District",9.7,30.6,59.7
"2016-17","Numeracy","Elm City Montessori School District",8.8,20.6,70.6
"2016-17","Numeracy","Enfield School District",23.8,49.2,27
"2016-17","Numeracy","Essex School District",27.3,40.9,31.8
"2016-17","Numeracy","Explorations District",NA,NA,NA
"2016-17","Numeracy","Fairfield School District",10.2,33.6,56.2
"2016-17","Numeracy","Farmington School District",8.2,25.8,65.9
"2016-17","Numeracy","Franklin School District",NA,NA,NA
"2016-17","Numeracy","Glastonbury School District",21.1,38.6,40.3
"2016-17","Numeracy","Granby School District",1.1,15.1,83.9
"2016-17","Numeracy","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Numeracy","Greenwich School District",11.4,31.5,57.1
"2016-17","Numeracy","Griswold School District",18.6,44.1,37.3
"2016-17","Numeracy","Groton School District",25.1,45.2,29.7
"2016-17","Numeracy","Guilford School District",3.6,27.7,68.7
"2016-17","Numeracy","Hamden School District",17.5,51.2,31.3
"2016-17","Numeracy","Hampton School District",NA,NA,NA
"2016-17","Numeracy","Hartford School District",34.3,38.9,26.7
"2016-17","Numeracy","Hartland School District",NA,NA,NA
"2016-17","Numeracy","Hebron School District",8.6,35.7,55.7
"2016-17","Numeracy","Highville Charter School District",27.5,42.5,30
"2016-17","Numeracy","Integrated Day Charter School District",9.7,51.6,38.7
"2016-17","Numeracy","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Numeracy","Jumoke Academy District",4.1,63,32.9
"2016-17","Numeracy","Kent School District",NA,NA,NA
"2016-17","Numeracy","Killingly School District",18.1,36.3,45.6
"2016-17","Numeracy","LEARN",16.7,34.8,48.4
"2016-17","Numeracy","Lebanon School District",3.7,55.6,40.7
"2016-17","Numeracy","Ledyard School District",23.4,37.3,39.2
"2016-17","Numeracy","Lisbon School District",21.6,32.4,45.9
"2016-17","Numeracy","Litchfield School District",29,65.2,5.8
"2016-17","Numeracy","Madison School District",3.9,32,64.1
"2016-17","Numeracy","Manchester School District",43.8,43,13.2
"2016-17","Numeracy","Mansfield School District",16.5,55.7,27.8
"2016-17","Numeracy","Marlborough School District",8.2,31.1,60.7
"2016-17","Numeracy","Meriden School District",30.2,45.8,24
"2016-17","Numeracy","Middletown School District",32.6,39.6,27.8
"2016-17","Numeracy","Milford School District",12.6,38.2,49.2
"2016-17","Numeracy","Monroe School District",6.4,59.1,34.5
"2016-17","Numeracy","Montville School District",17.7,43.7,38.6
"2016-17","Numeracy","Naugatuck School District",20.8,38.2,41
"2016-17","Numeracy","New Beginnings Inc. Family Academy District",8.8,40.4,50.9
"2016-17","Numeracy","New Britain School District",36.5,40.9,22.6
"2016-17","Numeracy","New Canaan School District",6.2,41.2,52.6
"2016-17","Numeracy","New Fairfield School District",6.6,55.1,38.2
"2016-17","Numeracy","New Hartford School District",23.8,59.5,16.7
"2016-17","Numeracy","New Haven School District",31.9,43.1,25
"2016-17","Numeracy","Newington School District",25.6,48.1,26.3
"2016-17","Numeracy","New London School District",24.4,58.7,17
"2016-17","Numeracy","New Milford School District",30.2,48,21.8
"2016-17","Numeracy","Newtown School District",7.6,52,40.4
"2016-17","Numeracy","Norfolk School District",NA,NA,NA
"2016-17","Numeracy","North Branford School District",9.2,62.2,28.6
"2016-17","Numeracy","North Canaan School District",2.4,31,66.7
"2016-17","Numeracy","North Haven School District",19.2,52.1,28.6
"2016-17","Numeracy","North Stonington School District",2,14.3,83.7
"2016-17","Numeracy","Norwalk School District",23.6,44.6,31.9
"2016-17","Numeracy","Norwich Free Academy District",NA,NA,NA
"2016-17","Numeracy","Norwich School District",31.5,43.8,24.6
"2016-17","Numeracy","Odyssey Community School District",25,69.4,5.6
"2016-17","Numeracy","Old Saybrook School District",10,68.6,21.4
"2016-17","Numeracy","Orange School District",8.6,51.4,40
"2016-17","Numeracy","Oxford School District",11.8,23.5,64.7
"2016-17","Numeracy","Park City Prep Charter School District",NA,NA,NA
"2016-17","Numeracy","Path Academy District",NA,NA,NA
"2016-17","Numeracy","Plainfield School District",23.8,49.7,26.5
"2016-17","Numeracy","Plainville School District",13.6,30.1,56.3
"2016-17","Numeracy","Plymouth School District",24.1,43.4,32.5
"2016-17","Numeracy","Pomfret School District",12,52,36
"2016-17","Numeracy","Portland School District",27.6,44.9,27.6
"2016-17","Numeracy","Preston School District",16.1,38.7,45.2
"2016-17","Numeracy","Putnam School District",19.5,31.7,48.8
"2016-17","Numeracy","Redding School District",12.6,60.2,27.2
"2016-17","Numeracy","Regional School District 01",NA,NA,NA
"2016-17","Numeracy","Regional School District 04",NA,NA,NA
"2016-17","Numeracy","Regional School District 05",NA,NA,NA
"2016-17","Numeracy","Regional School District 06",2.5,12.5,85
"2016-17","Numeracy","Regional School District 07",NA,NA,NA
"2016-17","Numeracy","Regional School District 08",NA,NA,NA
"2016-17","Numeracy","Regional School District 09",NA,NA,NA
"2016-17","Numeracy","Regional School District 10",5.9,23.7,70.4
"2016-17","Numeracy","Regional School District 11",NA,NA,NA
"2016-17","Numeracy","Regional School District 12",NA,26.7,73.3
"2016-17","Numeracy","Regional School District 13",10.4,70.4,19.1
"2016-17","Numeracy","Regional School District 14",12.5,68.8,18.8
"2016-17","Numeracy","Regional School District 15",8.9,46.9,44.1
"2016-17","Numeracy","Regional School District 16",23.1,44.6,32.3
"2016-17","Numeracy","Regional School District 17",0.7,12.8,86.5
"2016-17","Numeracy","Regional School District 18",6.2,60,33.8
"2016-17","Numeracy","Regional School District 19",NA,NA,NA
"2016-17","Numeracy","Ridgefield School District",14.9,31.8,53.3
"2016-17","Numeracy","Rocky Hill School District",15.4,46.2,38.5
"2016-17","Numeracy","Salem School District",11.1,40,48.9
"2016-17","Numeracy","Salisbury School District",21.9,46.9,31.3
"2016-17","Numeracy","Scotland School District",NA,NA,NA
"2016-17","Numeracy","Seymour School District",25.2,38.4,36.4
"2016-17","Numeracy","Sharon School District",NA,NA,NA
"2016-17","Numeracy","Shelton School District",18.1,59.5,22.4
"2016-17","Numeracy","Sherman School District",7.1,14.3,78.6
"2016-17","Numeracy","Side By Side Charter School District",4.3,39.1,56.5
"2016-17","Numeracy","Simsbury School District",16,31.7,52.3
"2016-17","Numeracy","Somers School District",12,37.3,50.7
"2016-17","Numeracy","Southington School District",19.5,63.5,17
"2016-17","Numeracy","South Windsor School District",14.5,31.4,54.1
"2016-17","Numeracy","Sprague School District",5.7,28.6,65.7
"2016-17","Numeracy","Stafford School District",13.9,44.4,41.7
"2016-17","Numeracy","Stamford Academy District",NA,NA,NA
"2016-17","Numeracy","Stamford Charter School for Excellence District",NA,NA,NA
"2016-17","Numeracy","Stamford School District",25.3,37.3,37.4
"2016-17","Numeracy","Sterling School District",24.3,51.4,24.3
"2016-17","Numeracy","Stonington School District",13.1,17.2,69.7
"2016-17","Numeracy","Stratford School District",26.5,42.3,31.2
"2016-17","Numeracy","Suffield School District",7.8,48.8,43.4
"2016-17","Numeracy","The Bridge Academy District",NA,NA,NA
"2016-17","Numeracy","The Gilbert School District",NA,NA,NA
"2016-17","Numeracy","Thomaston School District",67.9,26.8,5.4
"2016-17","Numeracy","Thompson School District",42.7,49.3,8
"2016-17","Numeracy","Tolland School District",16.8,52.6,30.7
"2016-17","Numeracy","Torrington School District",23.9,43.6,32.5
"2016-17","Numeracy","Trailblazers Academy District",NA,NA,NA
"2016-17","Numeracy","Trumbull School District",23.6,49.6,26.8
"2016-17","Numeracy","Unified School District #1",NA,NA,NA
"2016-17","Numeracy","Unified School District #2",NA,NA,NA
"2016-17","Numeracy","Union School District",NA,NA,NA
"2016-17","Numeracy","Vernon School District",20.2,36.1,43.7
"2016-17","Numeracy","Voluntown School District",NA,26.1,73.9
"2016-17","Numeracy","Wallingford School District",18,39.5,42.5
"2016-17","Numeracy","Waterbury School District",34.4,41.3,24.3
"2016-17","Numeracy","Waterford School District",18.2,51.8,29.9
"2016-17","Numeracy","Watertown School District",21.2,45.5,33.3
"2016-17","Numeracy","Westbrook School District",12.5,41.1,46.4
"2016-17","Numeracy","Western Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Numeracy","West Hartford School District",14.4,38.5,47.1
"2016-17","Numeracy","West Haven School District",39.5,47.5,13
"2016-17","Numeracy","Weston School District",3.9,13.3,82.8
"2016-17","Numeracy","Westport School District",5.5,42.8,51.7
"2016-17","Numeracy","Wethersfield School District",19.7,43.5,36.8
"2016-17","Numeracy","Willington School District",12.2,36.6,51.2
"2016-17","Numeracy","Wilton School District",0.4,5.7,93.9
"2016-17","Numeracy","Winchester School District",37.9,56.1,6.1
"2016-17","Numeracy","Windham School District",32.5,51.4,16.1
"2016-17","Numeracy","Windsor Locks School District",17,47.2,35.8
"2016-17","Numeracy","Windsor School District",19.3,44.8,35.9
"2016-17","Numeracy","Wolcott School District",8.6,49.3,42.1
"2016-17","Numeracy","Woodbridge School District",20,62.1,17.9
"2016-17","Numeracy","Woodstock Academy District",NA,NA,NA
"2016-17","Numeracy","Woodstock School District",13.4,31.3,55.2
"2016-17","Personal","Achievement First Bridgeport Academy District",21.3,61.7,17
"2016-17","Personal","Achievement First Hartford Academy District",11.5,46.2,42.3
"2016-17","Personal","Amistad Academy District",8.6,28,63.4
"2016-17","Personal","Andover School District",NA,NA,NA
"2016-17","Personal","Ansonia School District",17.8,50.6,31.7
"2016-17","Personal","Area Cooperative Educational Services",27,41.9,31.1
"2016-17","Personal","Ashford School District",2.9,5.7,91.4
"2016-17","Personal","Avon School District",4.5,29.8,65.7
"2016-17","Personal","Barkhamsted School District",NA,NA,NA
"2016-17","Personal","Berlin School District",25.7,53.2,21.1
"2016-17","Personal","Bethany School District",14.7,44.1,41.2
"2016-17","Personal","Bethel School District",5.3,31.7,63
"2016-17","Personal","Bloomfield School District",17.3,57.4,25.3
"2016-17","Personal","Bolton School District",18,40,42
"2016-17","Personal","Booker T Washington Academy District",21.4,63.1,15.5
"2016-17","Personal","Bozrah School District",NA,NA,NA
"2016-17","Personal","Branford School District",10.7,51.5,37.8
"2016-17","Personal","Brass City Charter School District",14.7,58.8,26.5
"2016-17","Personal","Bridgeport School District",24.3,44.2,31.5
"2016-17","Personal","Bristol School District",17.4,43.1,39.5
"2016-17","Personal","Brookfield School District",8.3,22.9,68.8
"2016-17","Personal","Brooklyn School District",18.4,33.3,48.3
"2016-17","Personal","Canaan School District",NA,NA,NA
"2016-17","Personal","Canterbury School District",8.7,80.4,10.9
"2016-17","Personal","Canton School District",8.2,27.8,63.9
"2016-17","Personal","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Personal","Capitol Region Education Council",14.8,48.3,36.9
"2016-17","Personal","Chaplin School District",NA,NA,NA
"2016-17","Personal","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Personal","Cheshire School District",13.3,47.1,39.6
"2016-17","Personal","Chester School District",7.1,14.3,78.6
"2016-17","Personal","Clinton School District",12.9,55.4,31.7
"2016-17","Personal","Colchester School District",11.5,38.8,49.6
"2016-17","Personal","Colebrook School District",NA,NA,NA
"2016-17","Personal","Columbia School District",19.6,54.3,26.1
"2016-17","Personal","Common Ground High School District",NA,NA,NA
"2016-17","Personal","Connecticut",19.5,43,37.5
"2016-17","Personal","Connecticut Technical High School System",NA,NA,NA
"2016-17","Personal","Cooperative Educational Services",7.3,12.2,80.5
"2016-17","Personal","Cornwall School District",NA,NA,NA
"2016-17","Personal","Coventry School District",29.3,52.6,18.1
"2016-17","Personal","Cromwell School District",14.3,47.9,37.9
"2016-17","Personal","Danbury School District",26.7,44.2,29.1
"2016-17","Personal","Darien School District",2.7,21.6,75.6
"2016-17","Personal","Deep River School District",23.3,43.3,33.3
"2016-17","Personal","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Personal","Derby School District",15.5,36.1,48.5
"2016-17","Personal","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Personal","Eastford School District",NA,NA,NA
"2016-17","Personal","East Granby School District",6.3,9.5,84.1
"2016-17","Personal","East Haddam School District",11.1,50,38.9
"2016-17","Personal","East Hampton School District",11.5,46,42.4
"2016-17","Personal","East Hartford School District",40.4,42.5,17.1
"2016-17","Personal","East Haven School District",23.1,55.6,21.3
"2016-17","Personal","East Lyme School District",33.7,43,23.3
"2016-17","Personal","Easton School District",12.8,38.5,48.7
"2016-17","Personal","East Windsor School District",23.4,51.9,24.7
"2016-17","Personal","Ellington School District",15,22.8,62.3
"2016-17","Personal","Elm City College Preparatory School District",6.5,16.1,77.4
"2016-17","Personal","Elm City Montessori School District",11.8,26.5,61.8
"2016-17","Personal","Enfield School District",21.9,46.2,31.9
"2016-17","Personal","Essex School District",22.7,45.5,31.8
"2016-17","Personal","Explorations District",NA,NA,NA
"2016-17","Personal","Fairfield School District",12.8,38.1,49.1
"2016-17","Personal","Farmington School District",11.2,31.5,57.3
"2016-17","Personal","Franklin School District",NA,NA,NA
"2016-17","Personal","Glastonbury School District",20.3,36.6,43.1
"2016-17","Personal","Granby School District",4.3,12.9,82.8
"2016-17","Personal","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Personal","Greenwich School District",7.7,32.6,59.8
"2016-17","Personal","Griswold School District",23.7,55.1,21.2
"2016-17","Personal","Groton School District",21.4,49.1,29.5
"2016-17","Personal","Guilford School District",3.6,19,77.4
"2016-17","Personal","Hamden School District",24.7,39.3,36.1
"2016-17","Personal","Hampton School District",NA,NA,NA
"2016-17","Personal","Hartford School District",25.1,43.6,31.3
"2016-17","Personal","Hartland School District",NA,NA,NA
"2016-17","Personal","Hebron School District",4.3,24.3,71.4
"2016-17","Personal","Highville Charter School District",42.5,27.5,30
"2016-17","Personal","Integrated Day Charter School District",25.8,41.9,32.3
"2016-17","Personal","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Personal","Jumoke Academy District",2.7,49.3,47.9
"2016-17","Personal","Kent School District",NA,NA,NA
"2016-17","Personal","Killingly School District",18.8,39.4,41.9
"2016-17","Personal","LEARN",21.6,32.4,46
"2016-17","Personal","Lebanon School District",9.3,61.1,29.6
"2016-17","Personal","Ledyard School District",19.6,41.1,39.2
"2016-17","Personal","Lisbon School District",21.6,32.4,45.9
"2016-17","Personal","Litchfield School District",24.6,47.8,27.5
"2016-17","Personal","Madison School District",8.5,32,59.5
"2016-17","Personal","Manchester School District",41.9,43,15.1
"2016-17","Personal","Mansfield School District",14.4,52.6,33
"2016-17","Personal","Marlborough School District",9.8,29.5,60.7
"2016-17","Personal","Meriden School District",25.4,41.6,33
"2016-17","Personal","Middletown School District",29.9,41.8,28.3
"2016-17","Personal","Milford School District",10.5,33.1,56.5
"2016-17","Personal","Monroe School District",9.9,53.2,36.9
"2016-17","Personal","Montville School District",16.5,41.1,42.4
"2016-17","Personal","Naugatuck School District",15.5,38.2,46.4
"2016-17","Personal","New Beginnings Inc. Family Academy District",15.8,50.9,33.3
"2016-17","Personal","New Britain School District",32.7,39.2,28.1
"2016-17","Personal","New Canaan School District",12,38.7,49.3
"2016-17","Personal","New Fairfield School District",8.8,52.2,39
"2016-17","Personal","New Hartford School District",19,81,NA
"2016-17","Personal","New Haven School District",22,47.9,30.1
"2016-17","Personal","Newington School District",24.8,50.4,24.8
"2016-17","Personal","New London School District",17,60.4,22.6
"2016-17","Personal","New Milford School District",25.8,52,22.2
"2016-17","Personal","Newtown School District",7.6,42.7,49.8
"2016-17","Personal","Norfolk School District",NA,NA,NA
"2016-17","Personal","North Branford School District",22.7,55.5,21.8
"2016-17","Personal","North Canaan School District",NA,35.7,64.3
"2016-17","Personal","North Haven School District",10.3,57.7,31.9
"2016-17","Personal","North Stonington School District",4.1,4.1,91.8
"2016-17","Personal","Norwalk School District",18.6,45.8,35.7
"2016-17","Personal","Norwich Free Academy District",NA,NA,NA
"2016-17","Personal","Norwich School District",28.5,45.6,25.9
"2016-17","Personal","Odyssey Community School District",25,75,NA
"2016-17","Personal","Old Saybrook School District",11.4,60,28.6
"2016-17","Personal","Orange School District",5.7,43.6,50.7
"2016-17","Personal","Oxford School District",10.1,37,52.9
"2016-17","Personal","Park City Prep Charter School District",NA,NA,NA
"2016-17","Personal","Path Academy District",NA,NA,NA
"2016-17","Personal","Plainfield School District",11.6,55.8,32.7
"2016-17","Personal","Plainville School District",11.9,38.1,50
