"Town","Year","Region","All - All - Single-Parent Families","All - All - Margins of Error","Single-Parent - All - Single-Parent Families","Single-Parent - All - Margins of Error","total_number_of_families","total_number_of_families_moe","total_number_of_single_families","total_number_of_single_families_moe","Town_pct_single_parent_families","Town_pct_single_parent_families_moe","Region_pct_single_parent_families","Region_pct_single_parent_families_moe","All - All - Single-Parent FamiliesC","All - All - Margins of ErrorC","Single-Parent - All - Single-Parent FamiliesC","Single-Parent - All - Margins of ErrorC","total_number_of_familiesC","total_number_of_families_moeC","total_number_of_single_familiesC","total_number_of_single_families_moeC"
"Warren","2012-2016","Western Region",462,52,38,18,158306,1255,37603,1183,8.23,0.04,23.75,0.01,"    462","   52","     38","   18","158,306","1,255"," 37,603","1,183"
"Washington","2012-2016","Western Region",982,92,198,75,158306,1255,37603,1183,20.16,0.07,23.75,0.01,"    982","   92","    198","   75","158,306","1,255"," 37,603","1,183"
"Waterbury","2012-2016","Western Region",24915,615,11641,620,158306,1255,37603,1183,46.72,0.02,23.75,0.01," 24,915","  615"," 11,641","  620","158,306","1,255"," 37,603","1,183"
"Waterford","2012-2016","Eastern Region",5179,212,1000,169,162930,1327,38893,1241,19.31,0.03,23.87,0.01,"  5,179","  212","  1,000","  169","162,930","1,327"," 38,893","1,241"
"Watertown","2012-2016","Western Region",5701,293,1090,199,158306,1255,37603,1183,19.12,0.03,23.75,0.01,"  5,701","  293","  1,090","  199","158,306","1,255"," 37,603","1,183"
"Westbrook","2012-2016","Eastern Region",1761,201,378,129,162930,1327,38893,1241,21.47,0.07,23.87,0.01,"  1,761","  201","    378","  129","162,930","1,327"," 38,893","1,241"
"West Hartford","2012-2016","North Central Region",15911,346,3235,312,152782,1216,47069,1232,20.33,0.02,30.81,0.01," 15,911","  346","  3,235","  312","152,782","1,216"," 47,069","1,232"
"West Haven","2012-2016","South Central Region",11743,417,4215,452,119053,1194,34338,1143,35.89,0.04,28.84,0.01," 11,743","  417","  4,215","  452","119,053","1,194"," 34,338","1,143"
"Weston","2012-2016","Southwest Region",2891,97,231,88,172434,1307,43304,1225,7.99,0.03,25.11,0.01,"  2,891","   97","    231","   88","172,434","1,307"," 43,304","1,225"
"Westport","2012-2016","Southwest Region",7339,198,1015,186,172434,1307,43304,1225,13.83,0.03,25.11,0.01,"  7,339","  198","  1,015","  186","172,434","1,307"," 43,304","1,225"
"Wethersfield","2012-2016","Central Region",7237,214,1727,268,128908,1076,32360,1098,23.86,0.04,25.1,0.01,"  7,237","  214","  1,727","  268","128,908","1,076"," 32,360","1,098"
"Willington","2012-2016","Eastern Region",1412,172,311,136,162930,1327,38893,1241,22.03,0.09,23.87,0.01,"  1,412","  172","    311","  136","162,930","1,327"," 38,893","1,241"
"Wilton","2012-2016","Southwest Region",4941,156,466,104,172434,1307,43304,1225,9.43,0.02,25.11,0.01,"  4,941","  156","    466","  104","172,434","1,307"," 43,304","1,225"
"Winchester","2012-2016","Western Region",2980,205,667,201,158306,1255,37603,1183,22.38,0.07,23.75,0.01,"  2,980","  205","    667","  201","158,306","1,255"," 37,603","1,183"
"Windham","2012-2016","Eastern Region",5478,312,2844,272,162930,1327,38893,1241,51.92,0.04,23.87,0.01,"  5,478","  312","  2,844","  272","162,930","1,327"," 38,893","1,241"
"Windsor","2012-2016","North Central Region",7722,235,2029,312,152782,1216,47069,1232,26.28,0.04,30.81,0.01,"  7,722","  235","  2,029","  312","152,782","1,216"," 47,069","1,232"
"Windsor Locks","2012-2016","North Central Region",3297,168,759,140,152782,1216,47069,1232,23.02,0.04,30.81,0.01,"  3,297","  168","    759","  140","152,782","1,216"," 47,069","1,232"
"Wolcott","2012-2016","Western Region",4556,180,1116,218,158306,1255,37603,1183,24.5,0.05,23.75,0.01,"  4,556","  180","  1,116","  218","158,306","1,255"," 37,603","1,183"
"Woodbridge","2012-2016","South Central Region",2351,142,313,109,119053,1194,34338,1143,13.31,0.05,28.84,0.01,"  2,351","  142","    313","  109","119,053","1,194"," 34,338","1,143"
"Woodbury","2012-2016","Western Region",2831,148,438,93,158306,1255,37603,1183,15.47,0.03,23.75,0.01,"  2,831","  148","    438","   93","158,306","1,255"," 37,603","1,183"
"Woodstock","2012-2016","Eastern Region",2466,197,352,167,162930,1327,38893,1241,14.27,0.07,23.87,0.01,"  2,466","  197","    352","  167","162,930","1,327"," 38,893","1,241"
