"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value"
"Barkhamsted School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",6
"Barkhamsted School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",6
"Barkhamsted School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-6666
