"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value"
"North Branford School District",900953890,"2014-2015","Out-of-School Suspension","Sanctions","Number",88
"North Branford School District",900953890,"2014-2015","Expulsion","Sanctions","Number",-9999
"North Branford School District",900953890,"2014-2015","Bus Suspension","Sanctions","Number",7
"North Branford School District",900953890,"2015-2016","In-School Suspension","Sanctions","Number",190
"North Branford School District",900953890,"2015-2016","Out-of-School Suspension","Sanctions","Number",59
"North Branford School District",900953890,"2015-2016","Expulsion","Sanctions","Number",0
"North Branford School District",900953890,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"North Branford School District",900953890,"2016-2017","In-School Suspension","Sanctions","Number",117
"North Branford School District",900953890,"2016-2017","Out-of-School Suspension","Sanctions","Number",55
"North Branford School District",900953890,"2016-2017","Expulsion","Sanctions","Number",-9999
"North Branford School District",900953890,"2016-2017","Bus Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",15
"North Canaan School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",12
"North Canaan School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",9
"North Canaan School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",9
"North Canaan School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-6666
"North Canaan School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-6666
"North Canaan School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666
"North Canaan School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666
"North Canaan School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999
"North Canaan School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",0
"North Canaan School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"North Canaan School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"North Haven School District",900954870,"2009-2010","In-School Suspension","Sanctions","Number",89
"North Haven School District",900954870,"2009-2010","Out-of-School Suspension","Sanctions","Number",85
"North Haven School District",900954870,"2009-2010","Expulsion","Sanctions","Number",0
"North Haven School District",900954870,"2009-2010","Bus Suspension","Sanctions","Number",0
"North Haven School District",900954870,"2010-2011","In-School Suspension","Sanctions","Number",107
"North Haven School District",900954870,"2010-2011","Out-of-School Suspension","Sanctions","Number",173
"North Haven School District",900954870,"2010-2011","Expulsion","Sanctions","Number",8
"North Haven School District",900954870,"2010-2011","Bus Suspension","Sanctions","Number",10
"North Haven School District",900954870,"2011-2012","In-School Suspension","Sanctions","Number",76
"North Haven School District",900954870,"2011-2012","Out-of-School Suspension","Sanctions","Number",80
"North Haven School District",900954870,"2011-2012","Expulsion","Sanctions","Number",-9999
"North Haven School District",900954870,"2011-2012","Bus Suspension","Sanctions","Number",31
"North Haven School District",900954870,"2012-2013","In-School Suspension","Sanctions","Number",226
"North Haven School District",900954870,"2012-2013","Out-of-School Suspension","Sanctions","Number",57
"North Haven School District",900954870,"2012-2013","Expulsion","Sanctions","Number",0
"North Haven School District",900954870,"2012-2013","Bus Suspension","Sanctions","Number",11
"North Haven School District",900954870,"2013-2014","In-School Suspension","Sanctions","Number",113
"North Haven School District",900954870,"2013-2014","Out-of-School Suspension","Sanctions","Number",72
"North Haven School District",900954870,"2013-2014","Expulsion","Sanctions","Number",-9999
"North Haven School District",900954870,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"North Haven School District",900954870,"2014-2015","In-School Suspension","Sanctions","Number",105
"North Haven School District",900954870,"2014-2015","Out-of-School Suspension","Sanctions","Number",62
"North Haven School District",900954870,"2014-2015","Expulsion","Sanctions","Number",12
"North Haven School District",900954870,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"North Haven School District",900954870,"2015-2016","In-School Suspension","Sanctions","Number",98
"North Haven School District",900954870,"2015-2016","Out-of-School Suspension","Sanctions","Number",63
"North Haven School District",900954870,"2015-2016","Expulsion","Sanctions","Number",0
"North Haven School District",900954870,"2015-2016","Bus Suspension","Sanctions","Number",0
"North Haven School District",900954870,"2016-2017","In-School Suspension","Sanctions","Number",135
"North Haven School District",900954870,"2016-2017","Out-of-School Suspension","Sanctions","Number",59
"North Haven School District",900954870,"2016-2017","Expulsion","Sanctions","Number",-9999
"North Haven School District",900954870,"2016-2017","Bus Suspension","Sanctions","Number",0
"North Stonington School District",901155500,"2009-2010","In-School Suspension","Sanctions","Number",93
"North Stonington School District",901155500,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999
"North Stonington School District",901155500,"2009-2010","Expulsion","Sanctions","Number",17
"North Stonington School District",901155500,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"North Stonington School District",901155500,"2010-2011","In-School Suspension","Sanctions","Number",147
"North Stonington School District",901155500,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999
"North Stonington School District",901155500,"2010-2011","Expulsion","Sanctions","Number",-9999
"North Stonington School District",901155500,"2010-2011","Bus Suspension","Sanctions","Number",-9999
"North Stonington School District",901155500,"2011-2012","In-School Suspension","Sanctions","Number",110
"North Stonington School District",901155500,"2011-2012","Out-of-School Suspension","Sanctions","Number",11
"North Stonington School District",901155500,"2011-2012","Expulsion","Sanctions","Number",-9999
"North Stonington School District",901155500,"2011-2012","Bus Suspension","Sanctions","Number",0
"North Stonington School District",901155500,"2012-2013","In-School Suspension","Sanctions","Number",25
"North Stonington School District",901155500,"2012-2013","Out-of-School Suspension","Sanctions","Number",-9999
"North Stonington School District",901155500,"2012-2013","Expulsion","Sanctions","Number",6
"North Stonington School District",901155500,"2012-2013","Bus Suspension","Sanctions","Number",0
"North Stonington School District",901155500,"2013-2014","In-School Suspension","Sanctions","Number",42
"North Stonington School District",901155500,"2013-2014","Out-of-School Suspension","Sanctions","Number",0
"North Stonington School District",901155500,"2013-2014","Expulsion","Sanctions","Number",-9999
"North Stonington School District",901155500,"2013-2014","Bus Suspension","Sanctions","Number",0
"North Stonington School District",901155500,"2014-2015","In-School Suspension","Sanctions","Number",35
"North Stonington School District",901155500,"2014-2015","Out-of-School Suspension","Sanctions","Number",16
"North Stonington School District",901155500,"2014-2015","Expulsion","Sanctions","Number",-9999
"North Stonington School District",901155500,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"North Stonington School District",901155500,"2015-2016","In-School Suspension","Sanctions","Number",35
"North Stonington School District",901155500,"2015-2016","Out-of-School Suspension","Sanctions","Number",15
"North Stonington School District",901155500,"2015-2016","Expulsion","Sanctions","Number",-9999
"North Stonington School District",901155500,"2015-2016","Bus Suspension","Sanctions","Number",0
"North Stonington School District",901155500,"2016-2017","In-School Suspension","Sanctions","Number",43
"North Stonington School District",901155500,"2016-2017","Out-of-School Suspension","Sanctions","Number",6
"North Stonington School District",901155500,"2016-2017","Expulsion","Sanctions","Number",-9999
"North Stonington School District",901155500,"2016-2017","Bus Suspension","Sanctions","Number",0
"Norwalk School District",900156060,"2009-2010","In-School Suspension","Sanctions","Number",889
"Norwalk School District",900156060,"2009-2010","Out-of-School Suspension","Sanctions","Number",1277
"Norwalk School District",900156060,"2009-2010","Expulsion","Sanctions","Number",85
"Norwalk School District",900156060,"2009-2010","Bus Suspension","Sanctions","Number",10
"Norwalk School District",900156060,"2010-2011","In-School Suspension","Sanctions","Number",1773
"Norwalk School District",900156060,"2010-2011","Out-of-School Suspension","Sanctions","Number",548
"Norwalk School District",900156060,"2010-2011","Expulsion","Sanctions","Number",47
"Norwalk School District",900156060,"2010-2011","Bus Suspension","Sanctions","Number",11
"Norwalk School District",900156060,"2011-2012","In-School Suspension","Sanctions","Number",1533
"Norwalk School District",900156060,"2011-2012","Out-of-School Suspension","Sanctions","Number",575
"Norwalk School District",900156060,"2011-2012","Expulsion","Sanctions","Number",44
"Norwalk School District",900156060,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Norwalk School District",900156060,"2012-2013","In-School Suspension","Sanctions","Number",1262
"Norwalk School District",900156060,"2012-2013","Out-of-School Suspension","Sanctions","Number",548
"Norwalk School District",900156060,"2012-2013","Expulsion","Sanctions","Number",54
"Norwalk School District",900156060,"2012-2013","Bus Suspension","Sanctions","Number",9
"Norwalk School District",900156060,"2013-2014","In-School Suspension","Sanctions","Number",928
"Norwalk School District",900156060,"2013-2014","Out-of-School Suspension","Sanctions","Number",357
"Norwalk School District",900156060,"2013-2014","Expulsion","Sanctions","Number",33
"Norwalk School District",900156060,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Norwalk School District",900156060,"2014-2015","In-School Suspension","Sanctions","Number",782
"Norwalk School District",900156060,"2014-2015","Out-of-School Suspension","Sanctions","Number",227
"Norwalk School District",900156060,"2014-2015","Expulsion","Sanctions","Number",30
"Norwalk School District",900156060,"2014-2015","Bus Suspension","Sanctions","Number",6
"Norwalk School District",900156060,"2015-2016","In-School Suspension","Sanctions","Number",807
"Norwalk School District",900156060,"2015-2016","Out-of-School Suspension","Sanctions","Number",261
"Norwalk School District",900156060,"2015-2016","Expulsion","Sanctions","Number",32
"Norwalk School District",900156060,"2015-2016","Bus Suspension","Sanctions","Number",8
"Norwalk School District",900156060,"2016-2017","In-School Suspension","Sanctions","Number",1031
"Norwalk School District",900156060,"2016-2017","Out-of-School Suspension","Sanctions","Number",344
"Norwalk School District",900156060,"2016-2017","Expulsion","Sanctions","Number",23
"Norwalk School District",900156060,"2016-2017","Bus Suspension","Sanctions","Number",20
"Norwich Free Academy District",NA,"2009-2010","In-School Suspension","Sanctions","Number",275
"Norwich Free Academy District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",157
"Norwich Free Academy District",NA,"2009-2010","Expulsion","Sanctions","Number",19
"Norwich Free Academy District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Norwich Free Academy District",NA,"2010-2011","In-School Suspension","Sanctions","Number",491
"Norwich Free Academy District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",195
"Norwich Free Academy District",NA,"2010-2011","Expulsion","Sanctions","Number",11
"Norwich Free Academy District",NA,"2010-2011","Bus Suspension","Sanctions","Number",-9999
"Norwich Free Academy District",NA,"2011-2012","In-School Suspension","Sanctions","Number",693
"Norwich Free Academy District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",126
"Norwich Free Academy District",NA,"2011-2012","Expulsion","Sanctions","Number",12
"Norwich Free Academy District",NA,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Norwich Free Academy District",NA,"2012-2013","In-School Suspension","Sanctions","Number",793
"Norwich Free Academy District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",209
"Norwich Free Academy District",NA,"2012-2013","Expulsion","Sanctions","Number",9
"Norwich Free Academy District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Norwich Free Academy District",NA,"2013-2014","In-School Suspension","Sanctions","Number",639
"Norwich Free Academy District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",275
"Norwich Free Academy District",NA,"2013-2014","Expulsion","Sanctions","Number",17
"Norwich Free Academy District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Norwich Free Academy District",NA,"2014-2015","In-School Suspension","Sanctions","Number",445
"Norwich Free Academy District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",222
"Norwich Free Academy District",NA,"2014-2015","Expulsion","Sanctions","Number",41
"Norwich Free Academy District",NA,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"Norwich Free Academy District",NA,"2015-2016","In-School Suspension","Sanctions","Number",332
"Norwich Free Academy District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",240
"Norwich Free Academy District",NA,"2015-2016","Expulsion","Sanctions","Number",22
"Norwich Free Academy District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Norwich Free Academy District",NA,"2016-2017","In-School Suspension","Sanctions","Number",437
"Norwich Free Academy District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",236
"Norwich Free Academy District",NA,"2016-2017","Expulsion","Sanctions","Number",27
"Norwich Free Academy District",NA,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Norwich School District",901156270,"2009-2010","In-School Suspension","Sanctions","Number",438
"Norwich School District",901156270,"2009-2010","Out-of-School Suspension","Sanctions","Number",324
"Norwich School District",901156270,"2009-2010","Expulsion","Sanctions","Number",-9999
"Norwich School District",901156270,"2009-2010","Bus Suspension","Sanctions","Number",18
"Norwich School District",901156270,"2010-2011","In-School Suspension","Sanctions","Number",630
"Norwich School District",901156270,"2010-2011","Out-of-School Suspension","Sanctions","Number",284
"Norwich School District",901156270,"2010-2011","Expulsion","Sanctions","Number",7
"Norwich School District",901156270,"2010-2011","Bus Suspension","Sanctions","Number",21
"Norwich School District",901156270,"2011-2012","In-School Suspension","Sanctions","Number",529
"Norwich School District",901156270,"2011-2012","Out-of-School Suspension","Sanctions","Number",304
"Norwich School District",901156270,"2011-2012","Expulsion","Sanctions","Number",-9999
"Norwich School District",901156270,"2011-2012","Bus Suspension","Sanctions","Number",21
"Norwich School District",901156270,"2012-2013","In-School Suspension","Sanctions","Number",473
"Norwich School District",901156270,"2012-2013","Out-of-School Suspension","Sanctions","Number",235
"Norwich School District",901156270,"2012-2013","Expulsion","Sanctions","Number",-9999
"Norwich School District",901156270,"2012-2013","Bus Suspension","Sanctions","Number",23
"Norwich School District",901156270,"2013-2014","In-School Suspension","Sanctions","Number",272
"Norwich School District",901156270,"2013-2014","Out-of-School Suspension","Sanctions","Number",209
"Norwich School District",901156270,"2013-2014","Expulsion","Sanctions","Number",-9999
"Norwich School District",901156270,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Norwich School District",901156270,"2014-2015","In-School Suspension","Sanctions","Number",249
"Norwich School District",901156270,"2014-2015","Out-of-School Suspension","Sanctions","Number",189
"Norwich School District",901156270,"2014-2015","Expulsion","Sanctions","Number",-9999
"Norwich School District",901156270,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"Norwich School District",901156270,"2015-2016","In-School Suspension","Sanctions","Number",391
"Norwich School District",901156270,"2015-2016","Out-of-School Suspension","Sanctions","Number",195
"Norwich School District",901156270,"2015-2016","Expulsion","Sanctions","Number",8
"Norwich School District",901156270,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Norwich School District",901156270,"2016-2017","In-School Suspension","Sanctions","Number",365
"Norwich School District",901156270,"2016-2017","Out-of-School Suspension","Sanctions","Number",267
"Norwich School District",901156270,"2016-2017","Expulsion","Sanctions","Number",7
"Norwich School District",901156270,"2016-2017","Bus Suspension","Sanctions","Number",6
"Odyssey Community School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",17
"Odyssey Community School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",8
"Odyssey Community School District",NA,"2009-2010","Expulsion","Sanctions","Number",-9999
"Odyssey Community School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Odyssey Community School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",6
"Odyssey Community School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",9
"Odyssey Community School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Odyssey Community School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",9
"Odyssey Community School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",9
"Odyssey Community School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0
"Odyssey Community School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",7
"Odyssey Community School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",6
"Odyssey Community School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Odyssey Community School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",20
"Odyssey Community School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",13
"Odyssey Community School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Odyssey Community School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",22
"Odyssey Community School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",6
"Odyssey Community School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"Odyssey Community School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",18
"Odyssey Community School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-9999
"Odyssey Community School District",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Odyssey Community School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",12
"Odyssey Community School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",12
"Odyssey Community School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Odyssey Community School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2009-2010","In-School Suspension","Sanctions","Number",58
"Old Saybrook School District",900757320,"2009-2010","Out-of-School Suspension","Sanctions","Number",25
"Old Saybrook School District",900757320,"2009-2010","Expulsion","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2010-2011","In-School Suspension","Sanctions","Number",78
"Old Saybrook School District",900757320,"2010-2011","Out-of-School Suspension","Sanctions","Number",17
"Old Saybrook School District",900757320,"2010-2011","Expulsion","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2010-2011","Bus Suspension","Sanctions","Number",6
"Old Saybrook School District",900757320,"2011-2012","In-School Suspension","Sanctions","Number",52
"Old Saybrook School District",900757320,"2011-2012","Out-of-School Suspension","Sanctions","Number",14
"Old Saybrook School District",900757320,"2011-2012","Expulsion","Sanctions","Number",0
"Old Saybrook School District",900757320,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2012-2013","In-School Suspension","Sanctions","Number",83
"Old Saybrook School District",900757320,"2012-2013","Out-of-School Suspension","Sanctions","Number",69
"Old Saybrook School District",900757320,"2012-2013","Expulsion","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2013-2014","In-School Suspension","Sanctions","Number",27
"Old Saybrook School District",900757320,"2013-2014","Out-of-School Suspension","Sanctions","Number",28
"Old Saybrook School District",900757320,"2013-2014","Expulsion","Sanctions","Number",0
"Old Saybrook School District",900757320,"2013-2014","Bus Suspension","Sanctions","Number",0
"Old Saybrook School District",900757320,"2014-2015","In-School Suspension","Sanctions","Number",59
"Old Saybrook School District",900757320,"2014-2015","Out-of-School Suspension","Sanctions","Number",22
"Old Saybrook School District",900757320,"2014-2015","Expulsion","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2014-2015","Bus Suspension","Sanctions","Number",0
"Old Saybrook School District",900757320,"2015-2016","In-School Suspension","Sanctions","Number",40
"Old Saybrook School District",900757320,"2015-2016","Out-of-School Suspension","Sanctions","Number",36
"Old Saybrook School District",900757320,"2015-2016","Expulsion","Sanctions","Number",0
"Old Saybrook School District",900757320,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2016-2017","In-School Suspension","Sanctions","Number",31
"Old Saybrook School District",900757320,"2016-2017","Out-of-School Suspension","Sanctions","Number",34
"Old Saybrook School District",900757320,"2016-2017","Expulsion","Sanctions","Number",-9999
"Old Saybrook School District",900757320,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",11
"Orange School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",11
"Orange School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",0
"Orange School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Orange School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",8
"Orange School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",0
"Orange School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0
"Orange School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",10
"Orange School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",0
"Orange School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",17
"Orange School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",13
"Orange School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",0
"Orange School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"Orange School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",14
"Orange School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",0
"Orange School District",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",10
"Orange School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999
"Orange School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Orange School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Oxford School District",900958300,"2009-2010","In-School Suspension","Sanctions","Number",30
"Oxford School District",900958300,"2009-2010","Out-of-School Suspension","Sanctions","Number",35
"Oxford School District",900958300,"2009-2010","Expulsion","Sanctions","Number",0
"Oxford School District",900958300,"2009-2010","Bus Suspension","Sanctions","Number",0
"Oxford School District",900958300,"2010-2011","In-School Suspension","Sanctions","Number",29
"Oxford School District",900958300,"2010-2011","Out-of-School Suspension","Sanctions","Number",32
"Oxford School District",900958300,"2010-2011","Expulsion","Sanctions","Number",0
"Oxford School District",900958300,"2010-2011","Bus Suspension","Sanctions","Number",0
"Oxford School District",900958300,"2011-2012","In-School Suspension","Sanctions","Number",51
"Oxford School District",900958300,"2011-2012","Out-of-School Suspension","Sanctions","Number",22
"Oxford School District",900958300,"2011-2012","Expulsion","Sanctions","Number",0
"Oxford School District",900958300,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Oxford School District",900958300,"2012-2013","In-School Suspension","Sanctions","Number",34
"Oxford School District",900958300,"2012-2013","Out-of-School Suspension","Sanctions","Number",35
"Oxford School District",900958300,"2012-2013","Expulsion","Sanctions","Number",0
"Oxford School District",900958300,"2012-2013","Bus Suspension","Sanctions","Number",0
"Oxford School District",900958300,"2013-2014","In-School Suspension","Sanctions","Number",25
"Oxford School District",900958300,"2013-2014","Out-of-School Suspension","Sanctions","Number",26
"Oxford School District",900958300,"2013-2014","Expulsion","Sanctions","Number",-9999
"Oxford School District",900958300,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Oxford School District",900958300,"2014-2015","In-School Suspension","Sanctions","Number",28
"Oxford School District",900958300,"2014-2015","Out-of-School Suspension","Sanctions","Number",18
"Oxford School District",900958300,"2014-2015","Expulsion","Sanctions","Number",-9999
"Oxford School District",900958300,"2014-2015","Bus Suspension","Sanctions","Number",0
"Oxford School District",900958300,"2015-2016","In-School Suspension","Sanctions","Number",31
"Oxford School District",900958300,"2015-2016","Out-of-School Suspension","Sanctions","Number",19
"Oxford School District",900958300,"2015-2016","Expulsion","Sanctions","Number",-9999
"Oxford School District",900958300,"2015-2016","Bus Suspension","Sanctions","Number",0
"Oxford School District",900958300,"2016-2017","In-School Suspension","Sanctions","Number",42
"Oxford School District",900958300,"2016-2017","Out-of-School Suspension","Sanctions","Number",44
"Oxford School District",900958300,"2016-2017","Expulsion","Sanctions","Number",-9999
"Oxford School District",900958300,"2016-2017","Bus Suspension","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",417
"Park City Prep Charter School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",235
"Park City Prep Charter School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Park City Prep Charter School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",79
"Park City Prep Charter School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",31
"Park City Prep Charter School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",71
"Park City Prep Charter School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",52
"Park City Prep Charter School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Park City Prep Charter School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",25
"Park City Prep Charter School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",23
"Park City Prep Charter School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",12
"Park City Prep Charter School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",50
"Park City Prep Charter School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Park City Prep Charter School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",47
